,stckIssuCmpyNm,isinCdNm,dvdnBasDt,cashDvdnPayDt,stckGenrDvdnAmt,stckGenrCashDvdnRt,stckGenrDvdnRt,cashGrdnDvdnRt,stckGrdnDvdnRt,basDt
0,Test,Test,0,0.0,0,0,0.0,0.0,0.0,Test
1,동화약품,,19900331,,0,12,,,,
2,동화약품,,19910331,,0,2,,,,
3,동화약품,,19920331,,0,2,,,,
4,동화약품,,19930331,,0,2,,,,
5,동화약품,,19940331,,0,2,,,,
6,동화약품,,19950331,,0,10,,,,
7,동화약품,,19950331,,0,0,,,,
8,동화약품,,19960331,,0,2,,,,
9,동화약품,,19970331,,0,3,,,,
10,동화약품,,19980331,,0,1,,,,
11,동화약품,,19990331,,0,1,,,,
12,동화약품,,20000331,,0,1,,,,
13,동화약품,,20000331,,0,0,,,,
14,동화약품,,20010331,,0,2,,,,
15,동화약품,,20020331,,0,8,,,,
16,동화약품,,20030331,,500,10,,,,
17,동화약품,,20040331,,500,10,,,,
18,동화약품,,20050331,,500,10,,,,
19,동화약품,,20060331,,500,10,,,,
20,동화약품,,20070331,,600,12,,,,
21,동화약품,,20080331,,700,14,,,,
22,동화약품,,20090331,,750,15,,,,
23,동화약품,,20091231,,100,10,,,,
24,동화약품,,20101231,,100,10,,,,
25,동화약품,,20111231,,100,10,,,,
26,동화약품,,20121231,,80,8,,,,
27,동화약품,,20131231,,70,7,,,,
28,동화약품,,20141231,,80,8,,,,
29,동화약품,,20151231,,80,8,,,,
30,동화약품,,20161231,,110,11,,,,
31,동화약품,,20171231,,150,15,,,,
32,동화약품,,20181231,,120,12,,,,
33,동화약품,,20191231,,120,12,,,,
34,동화약품,,20201231,,180,18,,,,
35,하이트진로,,19890930,,0,15,,,,
36,하이트진로,,19900930,,0,15,,,,
37,하이트진로,,19910930,,0,15,,,,
38,하이트진로,,19920930,,0,3,,,,
39,하이트진로,,19930930,,0,12,,,,
40,하이트진로,,19940930,,0,12,,,,
41,하이트진로,,19950930,,0,12,,,,
42,하이트진로,,19960930,,0,12,,,,
43,하이트진로,,19970930,,0,0,,,,
44,하이트진로,,19980930,,0,0,,,,
45,하이트진로,,19990930,,0,0,,,,
46,하이트진로,,20000930,,0,0,,,,
47,하이트진로,,20010930,,0,0,,,,
48,하이트진로홀딩스,,19861231,,0,1.1,,,,
49,하이트진로홀딩스,,19891231,,0,11,,,,
50,하이트진로홀딩스,,19901231,,0,11,,,,
51,하이트진로홀딩스,,19911231,,0,0,,,,
52,하이트진로홀딩스,,19921231,,0,5,,,,
53,하이트진로홀딩스,,19931231,,0,1,,,,
54,하이트진로홀딩스,,19941231,,0,0,,,,
55,하이트진로홀딩스,,19951231,,0,0,,,,
56,하이트진로홀딩스,,19961231,,0,4,,,,
57,하이트진로홀딩스,,19971231,,0,5,,,,
58,하이트진로홀딩스,,19981231,,0,0,,,,
59,하이트진로홀딩스,,19991231,,0,7,,,,
60,하이트진로홀딩스,,20001231,,0,16,,,,
61,하이트진로홀딩스,,20011231,,0,18,,,,
62,하이트진로홀딩스,,20021231,,1000,20,,,,
63,하이트진로홀딩스,,20031231,,1100,22,,,,
64,하이트진로홀딩스,,20041231,,1100,22,,,,
65,하이트진로홀딩스,,20051231,,1100,22,,,,
66,하이트진로홀딩스,,20061231,,1100,22,,,,
67,하이트진로홀딩스,,20071231,,1200,24,,,,
68,하이트진로홀딩스,,20081231,,300,6,,,,
69,하이트진로홀딩스,,20091231,,150,3,,,,
70,하이트진로홀딩스,,20101231,,150,3,,,,
71,하이트진로홀딩스,,20111231,,150,3,,,,
72,하이트진로홀딩스,,20121231,,350,7,,,,
73,하이트진로홀딩스,,20131231,,350,7,,,,
74,하이트진로홀딩스,,20141231,,450,9,,,,
75,하이트진로홀딩스,,20151231,,200,4,,,,
76,하이트진로홀딩스,,20161231,,200,4,,,,
77,하이트진로홀딩스,,20171231,,150,3,,,,
78,하이트진로홀딩스,,20181231,,200,4,,,,
79,하이트진로홀딩스,,20191231,,350,7,,,,
80,하이트진로홀딩스,,20201231,,400,8,,,,
81,하이트진로홀딩스,,19891231,,0,12,,,,
82,하이트진로홀딩스,,19901231,,0,12,,,,
83,하이트진로홀딩스,,19911231,,0,0,,,,
84,하이트진로홀딩스,,19921231,,0,6,,,,
85,하이트진로홀딩스,,19931231,,0,2,,,,
86,하이트진로홀딩스,,19941231,,0,0,,,,
87,하이트진로홀딩스,,19951231,,0,0,,,,
88,하이트진로홀딩스,,19961231,,0,5,,,,
89,하이트진로홀딩스,,19971231,,0,6,,,,
90,하이트진로홀딩스,,19981231,,0,0,,,,
91,하이트진로홀딩스,,19991231,,0,8,,,,
92,하이트진로홀딩스,,20001231,,0,17,,,,
93,하이트진로홀딩스,,20011231,,0,19,,,,
94,하이트진로홀딩스,,20021231,,1050,21,,,,
95,하이트진로홀딩스,,20031231,,1150,23,,,,
96,하이트진로홀딩스,,20041231,,1150,23,,,,
97,하이트진로홀딩스,,20051231,,1150,23,,,,
98,하이트진로홀딩스,,20061231,,1150,23,,,,
99,하이트진로홀딩스,,20071231,,1250,25,,,,
100,하이트진로홀딩스,,20081231,,350,7,,,,
101,하이트진로홀딩스,,20091231,,200,4,,,,
102,하이트진로홀딩스,,20101231,,200,4,,,,
103,하이트진로홀딩스,,20111231,,200,4,,,,
104,하이트진로홀딩스,,20121231,,400,8,,,,
105,하이트진로홀딩스,,20131231,,400,8,,,,
106,하이트진로홀딩스,,20141231,,500,10,,,,
107,하이트진로홀딩스,,20151231,,250,5,,,,
108,하이트진로홀딩스,,20161231,,250,5,,,,
109,하이트진로홀딩스,,20171231,,200,4,,,,
110,하이트진로홀딩스,,20181231,,250,5,,,,
111,하이트진로홀딩스,,20191231,,400,8,,,,
112,하이트진로홀딩스,,20201231,,450,9,,,,
113,하이트진로,,20020930,,0,0,,,,
114,하이트진로,,20091231,,2000,40,,,,
115,하이트진로,,20101231,,1500,30,,,,
116,하이트진로,,20111231,,1250,25,,,,
117,하이트진로,,20121231,,1250,25,,,,
118,하이트진로,,20131231,,1100,22,,,,
119,하이트진로,,20141231,,1000,20,,,,
120,하이트진로,,20151231,,1000,20,,,,
121,하이트진로,,20161231,,900,18,,,,
122,하이트진로,,20171231,,800,16,,,,
123,하이트진로,,20181231,,800,16,,,,
124,하이트진로,,20191231,,700,14,,,,
125,하이트진로,,20201231,,750,15,,,,
126,하이트진로,,19890930,,0,0,,,,
127,하이트진로,,19900930,,0,16,,,,
128,하이트진로,,19910930,,0,16,,,,
129,하이트진로,,19920930,,0,4,,,,
130,하이트진로,,19930930,,0,13,,,,
131,하이트진로,,19940930,,0,13,,,,
132,하이트진로,,19950930,,0,13,,,,
133,하이트진로,,19960930,,0,13,,,,
134,하이트진로,,19970930,,0,0,,,,
135,하이트진로,,19980930,,0,0,,,,
136,하이트진로,,19990930,,0,0,,,,
137,하이트진로,,20000930,,0,0,,,,
138,하이트진로,,20010930,,0,0,,,,
139,하이트진로,,20020930,,0,0,,,,
140,하이트진로,,20091231,,2050,41,,,,
141,하이트진로,,20101231,,1550,31,,,,
142,하이트진로,,20111231,,1300,26,,,,
143,하이트진로,,20121231,,1300,26,,,,
144,하이트진로,,20131231,,1150,23,,,,
145,하이트진로,,20141231,,1050,21,,,,
146,하이트진로,,20151231,,1050,21,,,,
147,하이트진로,,20161231,,950,19,,,,
148,하이트진로,,20171231,,850,17,,,,
149,하이트진로,,20181231,,850,17,,,,
150,하이트진로,,20191231,,0,15,,,,
151,하이트진로,,20201231,,800,16,,,,
152,하이트진로,,20111231,,1300,26,,,,
153,하이트진로,,20121231,,1300,26,,,,
154,하이트진로,,20131231,,1150,23,,,,
155,하이트진로,,20141231,,1050,21,,,,
156,하이트진로,,20151231,,1050,21,,,,
157,하이트진로,,20161231,,950,19,,,,
158,하이트진로,,20171231,,850,17,,,,
159,하이트진로,,20181231,,850,17,,,,
160,하이트진로,,20191231,,0,15,,,,
161,하이트진로,,20201231,,0,16,,,,
162,성창기업지주,,20091231,,0,0,,,,
163,성창기업지주,,20111231,,500,10,,,,
164,성창기업지주,,20151231,,300,6,,,,
165,성창기업지주,,20161231,,10,2,,,,
166,성창기업지주,,20181231,,0,0,,,,
167,성창기업지주,,20191231,,0,0,,,,
168,성창기업지주,,20201231,,0,0,,,,
169,성창기업지주,,19880930,,0,10,,,,
170,성창기업지주,,19890930,,0,10,,,,
171,성창기업지주,,19900930,,0,10,,,,
172,성창기업지주,,19910930,,0,10,,,,
173,성창기업지주,,19920930,,0,10,,,,
174,성창기업지주,,19930930,,0,10,,,,
175,성창기업지주,,19940930,,0,10,,,,
176,성창기업지주,,19950930,,0,10,,,,
177,성창기업지주,,19960930,,0,0,,,,
178,성창기업지주,,19970930,,0,0,,,,
179,성창기업지주,,19980930,,0,0,,,,
180,성창기업지주,,19990930,,0,0,,,,
181,성창기업지주,,20000930,,0,0,,,,
182,성창기업지주,,20010930,,0,0,,,,
183,성창기업지주,,20020930,,0,0,,,,
184,성창기업지주,,20030930,,0,0,,,,
185,성창기업지주,,20040930,,400,8,,,,
186,성창기업지주,,20050930,,250,5,,,,
187,성창기업지주,,20060930,,300,6,,,,
188,성창기업지주,,20070930,,300,6,,,,
189,성창기업지주,,20071231,,0,0,,,,
190,성창기업지주,,20081231,,0,0,,,,
191,중앙에너비스,,19930930,,0,0,,,,
192,중앙에너비스,,19940930,,0,0,,,,
193,중앙에너비스,,19950930,,0,0,,,,
194,중앙에너비스,,19960930,,0,0,,,,
195,중앙에너비스,,19970930,,0,20,,,,
196,중앙에너비스,,19980930,,0,20,,,,
197,중앙에너비스,,19990930,,0,30,,,,
198,중앙에너비스,,20000930,,0,11,,,,
199,중앙에너비스,,20010930,,0,15,,,,
200,중앙에너비스,,20020930,,0,16,,,,
201,중앙에너비스,,20030930,,800,16,,,,
202,중앙에너비스,,20040930,,800,16,,,,
203,중앙에너비스,,20050930,,800,16,,,,
204,중앙에너비스,,20060930,,800,16,,,,
205,중앙에너비스,,20070930,,700,14,,,,
206,중앙에너비스,,20080930,,700,14,,,,
207,중앙에너비스,,20090930,,700,14,,,,
208,중앙에너비스,,20100930,,1050,21,,,,
209,중앙에너비스,,20110930,,800,32,,,,
210,중앙에너비스,,20120930,,800,32,,,,
211,중앙에너비스,,20130930,,800,32,,,,
212,중앙에너비스,,20140930,,800,32,,,,
213,중앙에너비스,,20141231,,200,8,,,,
214,중앙에너비스,,20151231,,800,32,,,,
215,중앙에너비스,,20161231,,800,32,,,,
216,중앙에너비스,,20171231,,880,35.2,,,,
217,중앙에너비스,,20181231,,160,32,,,,
218,중앙에너비스,,20191231,,160,32,,,,
219,중앙에너비스,,20201231,,480,96,,,,
220,영풍제지,,19970630,,0,10,,,,
221,영풍제지,,19980630,,0,5,,,,
222,영풍제지,,19990630,,0,12,,,,
223,영풍제지,,20000630,,0,10,,,,
224,영풍제지,,20010630,,0,8,,,,
225,영풍제지,,20020630,,0,12,,,,
226,영풍제지,,20021231,,300,6,,,,
227,영풍제지,,20031231,,900,18,,,,
228,영풍제지,,20041231,,1000,20,,,,
