Date,Open,High,Low,Close,Volume,Change
2016-01-04,3910,3939,3740,3804,78445,-0.02561475409836067
2016-01-05,3740,3854,3740,3797,28889,-0.0018401682439537215
2016-01-06,3861,3861,3690,3726,55266,-0.018698972873321007
2016-01-07,3711,3726,3619,3627,90459,-0.02657004830917875
2016-01-08,3605,3654,3555,3612,48050,-0.0041356492969396585
2016-01-11,3612,3676,3569,3669,41668,0.01578073089700993
2016-01-12,3697,3704,3626,3627,14996,-0.011447260834014705
2016-01-13,3633,3733,3626,3676,55040,0.013509787703336107
2016-01-14,3619,3640,3551,3634,39926,-0.011425462459194735
2016-01-15,3640,3676,3576,3634,25777,0.0
2016-01-18,3576,3626,3544,3598,41334,-0.009906439185470517
2016-01-19,3598,3598,3537,3555,21255,-0.01195108393551969
2016-01-20,3562,3562,3331,3371,81486,-0.05175808720112518
2016-01-21,3402,3406,3320,3353,50423,-0.005339661821417985
2016-01-22,3356,3388,3334,3356,63407,0.000894721145243027
2016-01-25,3391,3395,3356,3363,60693,0.002085816448152533
2016-01-26,3363,3370,3310,3342,31807,-0.006244424620874267
2016-01-27,3342,3413,3320,3346,58690,0.0011968880909634105
2016-01-28,3345,3395,3338,3395,33253,0.014644351464435212
2016-01-29,3406,3441,3388,3427,42792,0.009425625920471248
2016-02-01,3477,3477,3363,3392,41192,-0.010213014298219969
2016-02-02,3391,3406,3342,3378,42751,-0.004127358490566002
2016-02-03,3377,3398,3295,3303,46014,-0.022202486678507993
2016-02-04,3306,3356,3292,3349,41887,0.013926733272782377
2016-02-05,3363,3395,3359,3395,13707,0.013735443415945126
2016-02-11,3327,3363,3299,3324,33632,-0.020913107511045692
2016-02-12,3292,3384,3164,3228,60804,-0.028880866425992746
2016-02-15,3260,3270,3221,3264,19998,0.011152416356877248
2016-02-16,3263,3345,3235,3339,30828,0.022977941176470562
2016-02-17,3338,3345,3299,3331,60482,-0.002395926924228853
2016-02-18,3359,3413,3313,3367,51222,0.010807565295706922
2016-02-19,3366,3384,3356,3378,16485,0.0032670032670032434
2016-02-22,3370,3420,3370,3417,36077,0.011545293072824148
2016-02-23,3427,3445,3381,3413,67931,-0.0011706175007316633
2016-02-24,3406,3438,3377,3406,16833,-0.002050981541166119
2016-02-25,3427,3430,3377,3406,44967,0.0
2016-02-26,3409,3420,3374,3395,11354,-0.003229594832648286
2016-02-29,3395,3427,3349,3367,32625,-0.008247422680412342
2016-03-02,3370,3413,3359,3371,41510,0.0011880011880012198
2016-03-03,3377,3402,3363,3388,43668,0.005043013942450214
2016-03-04,3388,3544,3388,3545,106924,0.046340023612750914
2016-03-07,3562,3868,3551,3641,247370,0.027080394922425866
2016-03-08,3640,3662,3548,3605,71766,-0.009887393573194125
2016-03-09,3590,3676,3551,3605,77854,0.0
2016-03-10,3583,3654,3576,3619,33849,0.003883495145631022
2016-03-11,3619,3662,3576,3634,29537,0.004144791378833945
2016-03-14,3676,3676,3569,3577,45038,-0.015685195376995087
2016-03-15,3576,3619,3544,3570,38732,-0.00195694716242667
2016-03-16,3569,3605,3441,3463,138205,-0.029971988795518212
2016-03-17,3491,3576,3473,3491,88356,0.008085475021657462
2016-03-18,3491,3548,3420,3438,145633,-0.015181896304783726
2016-03-21,3455,3551,3406,3438,96730,0.0
2016-03-22,3441,3498,3441,3491,54285,0.015415939499709097
2016-03-23,3505,3832,3505,3769,442027,0.07963334288169577
2016-03-24,3797,4408,3697,4089,1427312,0.08490315733616338
2016-03-25,4088,4572,4088,4195,1391497,0.025923208608461756
2016-03-28,4230,4337,4124,4224,308207,0.006912991656734313
2016-03-29,4223,4223,3128,3328,4782205,-0.21212121212121215
2016-03-30,3334,3342,3164,3186,1251901,-0.042668269230769273
2016-03-31,3189,3228,3125,3136,543943,-0.015693659761456424
2016-04-01,3135,3153,2954,2990,846370,-0.04655612244897955
2016-04-04,3022,3029,2940,2969,359734,-0.007023411371237409
2016-04-05,2990,3036,2951,3011,321585,0.014146177164028328
2016-04-06,3015,3029,2986,3022,133861,0.0036532713384258564
2016-04-07,3029,3061,3007,3047,266945,0.008272667107875664
2016-04-08,3047,3050,3000,3015,137754,-0.010502133245815504
2016-04-11,3015,3047,3011,3022,190823,0.002321724709784423
2016-04-12,3025,3079,3015,3079,214575,0.01886168100595631
2016-04-14,3107,3135,3075,3115,380326,0.011692107827216525
2016-04-15,3128,3182,3111,3147,387737,0.010272873194221432
2016-04-18,3182,3206,3111,3175,619890,0.008897362567524603
2016-04-19,3485,3900,3465,3500,3432516,0.10236220472440949
2016-04-20,3505,3505,3280,3305,852106,-0.055714285714285716
2016-04-21,3320,3435,3270,3395,393916,0.027231467473525006
2016-04-22,3410,3415,3325,3410,185398,0.004418262150220897
2016-04-25,3400,3445,3360,3360,148579,-0.014662756598240456
2016-04-26,3360,3370,3295,3350,167775,-0.0029761904761904656
2016-04-27,3350,3355,3300,3310,121657,-0.011940298507462699
2016-04-28,3320,3380,3300,3310,104298,0.0
2016-04-29,3365,3365,3280,3330,98193,0.0060422960725075026
2016-05-02,3335,3350,3235,3265,159441,-0.019519519519519468
2016-05-03,3310,3310,3215,3270,90531,0.0015313935681469104
2016-05-04,3270,3275,3165,3190,141787,-0.024464831804281384
2016-05-09,3185,3205,3045,3050,154870,-0.043887147335423204
2016-05-10,3025,3120,3025,3100,103494,0.016393442622950838
2016-05-11,3105,3180,3075,3145,123661,0.014516129032257963
2016-05-12,3120,3170,3105,3140,82853,-0.0015898251192368873
2016-05-13,3140,3155,3060,3070,120377,-0.022292993630573243
2016-05-16,3070,3105,3035,3035,111250,-0.01140065146579805
2016-05-17,3090,3165,3055,3090,410858,0.01812191103789118
2016-05-18,3100,3100,2945,2950,333614,-0.04530744336569581
2016-05-19,2910,2975,2910,2940,190071,-0.003389830508474523
2016-05-20,2920,3030,2920,2975,102987,0.011904761904761862
2016-05-23,2950,2995,2915,2935,234406,-0.013445378151260456
2016-05-24,2935,3045,2920,2965,164865,0.010221465076660996
2016-05-25,2985,3030,2950,2960,181183,-0.001686340640809414
2016-05-26,2960,2980,2890,2890,219660,-0.023648648648648685
2016-05-27,2890,2910,2850,2850,266665,-0.01384083044982698
2016-05-30,2880,2900,2790,2790,374461,-0.021052631578947323
2016-05-31,2810,2850,2780,2805,468309,0.005376344086021501
2016-06-01,2830,3260,2830,2990,3771572,0.06595365418894827
2016-06-02,3020,3025,2905,2930,600516,-0.02006688963210701
2016-06-03,2910,2950,2865,2875,397835,-0.018771331058020424
2016-06-07,2875,2965,2875,2945,310145,0.024347826086956514
2016-06-08,2945,3040,2925,2985,392352,0.013582342954159499
2016-06-09,3075,3075,2880,2895,500471,-0.03015075376884424
2016-06-10,2905,2990,2890,2990,307544,0.032815198618307395
2016-06-13,3000,3000,2905,2910,244472,-0.026755852842809347
2016-06-14,2900,2930,2850,2875,193418,-0.012027491408934665
2016-06-15,2875,2910,2855,2870,111312,-0.0017391304347825765
2016-06-16,2900,2940,2785,2795,306052,-0.026132404181184676
2016-06-17,2830,2875,2795,2855,173033,0.02146690518783534
2016-06-20,2840,2890,2800,2850,163234,-0.0017513134851138146
2016-06-21,2890,2890,2825,2835,119564,-0.0052631578947368585
2016-06-22,2600,2630,2555,2570,3832074,-0.09347442680776019
2016-06-23,2565,2570,2490,2490,1501920,-0.0311284046692607
2016-06-24,2500,2505,2180,2245,3699585,-0.09839357429718876
2016-06-27,2190,2280,2170,2245,1219285,0.0
2016-06-28,2245,2280,2215,2265,984231,0.008908685968819663
2016-06-29,2300,2370,2295,2355,1046509,0.039735099337748325
2016-06-30,2380,2445,2365,2375,847007,0.00849256900212314
2016-07-01,2380,2430,2375,2410,513565,0.01473684210526316
2016-07-04,2410,2430,2395,2420,421006,0.004149377593360981
2016-07-05,2410,2470,2405,2435,621071,0.006198347107438051
2016-07-06,2435,2445,2350,2385,888392,-0.02053388090349073
2016-07-07,2395,2460,2395,2450,572562,0.027253668763102645
2016-07-08,2455,2460,2410,2440,234949,-0.004081632653061273
2016-07-11,2445,2465,2410,2435,482141,-0.002049180327868827
2016-07-12,2455,2505,2445,2475,659564,0.01642710472279263
2016-07-13,2485,2505,2470,2480,491105,0.002020202020202033
2016-07-14,2485,2500,2470,2490,324756,0.0040322580645162365
2016-07-15,2490,2520,2475,2475,563487,-0.0060240963855421326
2016-07-18,2480,2520,2450,2510,702331,0.014141414141414232
2016-07-19,2510,2520,2475,2505,364273,-0.0019920318725099584
2016-07-20,2500,2515,2470,2480,345685,-0.009980039920159722
2016-07-21,2485,2490,2455,2460,337485,-0.008064516129032251
2016-07-22,2460,2500,2440,2475,380396,0.0060975609756097615
2016-07-25,2480,2490,2455,2465,281966,-0.004040404040404066
2016-07-26,2455,2475,2435,2475,356303,0.0040567951318457585
2016-07-27,2475,2490,2455,2455,266014,-0.008080808080808133
2016-07-28,2455,2495,2455,2465,459816,0.004073319755600879
2016-07-29,2455,2475,2445,2455,360905,-0.0040567951318458695
2016-08-01,2465,2480,2435,2450,376550,-0.0020366598778004397
2016-08-02,2460,2565,2455,2560,1965452,0.044897959183673564
2016-08-03,2555,2555,2500,2510,902660,-0.01953125
2016-08-04,2525,2535,2490,2505,535377,-0.0019920318725099584
2016-08-05,2505,2550,2505,2520,524229,0.0059880239520957446
2016-08-08,2540,2540,2485,2495,484146,-0.009920634920634885
2016-08-09,2495,2510,2475,2485,360981,-0.004008016032064132
2016-08-10,2510,2510,2480,2500,263829,0.006036217303822866
2016-08-11,2500,2615,2485,2565,2869177,0.026000000000000023
2016-08-12,2555,2590,2540,2555,945107,-0.003898635477582846
2016-08-16,2555,2590,2535,2555,526420,0.0
2016-08-17,2590,2935,2585,2870,13479925,0.12328767123287676
2016-08-18,2860,3010,2800,2940,6047774,0.024390243902439046
2016-08-19,2940,2980,2840,2915,2595476,-0.008503401360544172
2016-08-22,2905,2910,2720,2740,2619325,-0.06003430531732423
2016-08-23,2745,2775,2710,2745,1641069,0.0018248175182482562
2016-08-24,2765,2870,2740,2825,2520599,0.02914389799635697
2016-08-25,2825,2825,2740,2750,1133953,-0.026548672566371723
2016-08-26,2730,2745,2680,2700,811514,-0.018181818181818188
2016-08-29,2695,2770,2655,2740,1388298,0.014814814814814836
2016-08-30,2760,2790,2700,2700,984516,-0.014598540145985384
2016-08-31,2710,2780,2700,2740,1364536,0.014814814814814836
2016-09-01,2740,2920,2735,2875,4343758,0.0492700729927007
2016-09-02,2885,2905,2805,2875,1699106,0.0
2016-09-05,2905,2965,2860,2870,2268972,-0.0017391304347825765
2016-09-06,2865,2980,2810,2965,2292868,0.03310104529616731
2016-09-07,3005,3065,2900,2900,3731981,-0.021922428330522714
2016-09-08,2900,2975,2850,2850,1562785,-0.017241379310344862
2016-09-09,2855,2880,2800,2810,1001642,-0.01403508771929829
2016-09-12,2715,2785,2670,2685,1443920,-0.04448398576512458
2016-09-13,2700,2745,2675,2700,683168,0.005586592178770999
2016-09-19,2695,2755,2665,2720,728251,0.007407407407407307
2016-09-20,2700,2740,2680,2695,548799,-0.009191176470588203
2016-09-21,2690,2740,2690,2715,709020,0.007421150278293043
2016-09-22,2720,2765,2690,2705,957395,-0.0036832412523020164
2016-09-23,2725,2735,2695,2715,660683,0.003696857670979714
2016-09-26,2735,2775,2695,2730,814730,0.005524861878453136
2016-09-27,2720,2725,2635,2655,1226710,-0.027472527472527486
2016-09-28,2665,2675,2605,2615,806232,-0.015065913370998163
2016-09-29,2620,2675,2610,2645,691852,0.011472275334607929
2016-09-30,2635,2645,2610,2625,472575,-0.007561436672967825
2016-10-04,2630,2645,2540,2540,1150000,-0.0323809523809524
2016-10-05,2545,3175,2540,3000,32716786,0.1811023622047243
2016-10-06,2965,2970,2835,2885,6484289,-0.03833333333333333
2016-10-07,2900,3175,2865,2865,15239064,-0.006932409012131768
2016-10-10,2865,2990,2845,2925,3908685,0.020942408376963373
2016-10-11,2975,3090,2940,3005,5661101,0.027350427350427253
2016-10-12,2970,3075,2915,2935,2426875,-0.02329450915141429
2016-10-13,2940,2990,2860,2900,1595008,-0.011925042589437829
2016-10-14,2910,2990,2870,2890,1639288,-0.0034482758620689724
2016-10-17,2885,2925,2805,2850,1235699,-0.01384083044982698
2016-10-18,2855,2955,2830,2940,1618127,0.03157894736842115
2016-10-19,2930,2975,2865,2865,1144225,-0.025510204081632626
2016-10-20,2880,2905,2840,2880,1001042,0.005235602094240788
2016-10-21,2890,2950,2850,2895,1387515,0.005208333333333259
2016-10-24,2895,2990,2890,2970,1682113,0.02590673575129543
2016-10-25,2970,2995,2845,2845,1662866,-0.04208754208754206
2016-10-26,2820,2845,2710,2735,2000091,-0.038664323374341
2016-10-27,2725,2800,2715,2745,734096,0.003656307129798808
2016-10-28,2760,2835,2725,2770,1139712,0.00910746812386165
2016-10-31,2755,2800,2605,2675,1210698,-0.03429602888086647
2016-11-01,2640,2710,2635,2675,587922,0.0
2016-11-02,2660,2665,2490,2490,1302631,-0.06915887850467295
2016-11-03,2450,2530,2440,2500,951794,0.004016064257028162
2016-11-04,2495,2560,2485,2555,421258,0.02200000000000002
2016-11-07,2550,2610,2540,2590,564156,0.013698630136986356
2016-11-08,2590,2610,2565,2590,435158,0.0
2016-11-09,2600,2695,2325,2425,2473787,-0.06370656370656369
2016-11-10,2540,2625,2495,2600,909825,0.07216494845360821
2016-11-11,2590,2675,2575,2625,755574,0.009615384615384581
2016-11-14,2625,2695,2590,2685,533129,0.02285714285714291
2016-11-15,2675,2710,2625,2625,559156,-0.022346368715083775
2016-11-16,2645,2775,2645,2740,1165815,0.04380952380952374
