code,mean_close,mean_changes,mean_chagesratio,mean_open,mean_high,mean_low,mean_volume,mean_amount,mean_marcap,mean_stocks,mean_rank
000020,10963.236734693875,244.08163265306123,2.04094693877551,10978.391836734694,11248.922448979592,10730.94693877551,471820.8791836735,7580070346.975511,306219317958.0,27931470.0,533.4995918367347
000030,14610.736949846469,174.15557830092118,1.1926816786079837,14602.88638689867,14765.936540429888,14441.402251791198,1596501.8710337768,23268462793.29478,9876858178096.213,676000000.0,34.43091095189355
000040,756.4962279966471,16.001676445934617,2.1158088851634536,757.4098910310142,776.3730092204527,738.6554903604359,1335929.6789606034,1167793144.480302,106422306533.17436,138164539.97652975,1285.6244761106454
000050,38899.26567656766,637.1864686468647,1.6034653465346536,38884.73597359736,39609.249174917495,38176.81518151816,40839.89686468647,678217491.3861386,381136945798.8449,23587989.73267327,439.003300330033
000060,18241.28979591837,226.0734693877551,1.2557714285714283,18244.571428571428,18468.685714285715,17999.004081632655,178574.19102040815,3245016461.248163,2030308203265.3064,111389720.0,122.33469387755102
000070,104850.1224489796,1873.7142857142856,1.8038122448979592,104906.32653061223,106868.08163265306,103082.69387755102,21021.34693877551,2255403454.4816327,897964863036.2449,8564271.0,237.8930612244898
000075,55767.26530612245,525.9591836734694,0.9808163265306122,55736.44897959184,56304.08163265306,54995.87755102041,1488.8195918367346,80693806.81632653,16956483154.44898,304058.0,2140.74612244898
000080,24313.469387755104,343.55102040816325,1.3482612244897958,24322.326530612245,24646.1224489796,23985.30612244898,301104.2375510204,8100635526.514286,1705191404101.2246,70133611.0,140.94285714285715
000087,17839.79591836735,127.10204081632654,0.7153142857142857,17863.551020408162,17997.38775510204,17646.367346938776,4106.37306122449,78450082.28571428,20161431279.591835,1130138.0,2113.2473469387755
000100,210462.72504091653,3197.545008183306,1.5518821603927988,210557.73322422247,213644.43535188216,207450.32733224225,181230.27414075285,19853993313.4419,2975308413020.867,20018099.05237316,88.64484451718494
000105,168518.4056761269,2134.1402337228715,1.333914858096828,168776.79465776295,170881.13522537562,166606.5525876461,7611.962437395659,566517211.8113523,48559947214.52421,378925.9899833055,1784.9056761268782
000120,165290.61224489796,2402.8571428571427,1.4663673469387757,165318.3673469388,167768.16326530612,162750.20408163266,66251.04163265305,10618462987.33551,3770666306501.2246,22812344.0,72.21142857142857
000140,11715.959183673467,151.4204081632653,1.2046285714285714,11734.048979591837,11895.518367346938,11538.50612244898,24610.217142857146,337157411.0367347,271889511525.10205,23206765.0,590.3657142857143
000145,10892.597510373444,133.12033195020746,1.1494190871369294,10900.9377593361,11020.796680497926,10745.385892116185,2271.2215767634857,34375582.75518672,5128343833.858921,470810.0,2274.319502074689
000150,97954.9387755102,1741.5510204081634,1.9203755102040816,97911.91836734694,99684.32653061223,96231.26530612246,81301.30448979592,6943594910.057143,1911490376364.8164,19210857.180408165,141.08897959183673
000155,65611.14285714286,516.4081632653061,0.9437551020408164,65643.79591836735,66188.5306122449,64964.65306122449,14372.815510204082,666323244.4604082,285963191473.7143,4327136.223673469,576.4318367346939
000157,70105.8101472995,809.0834697217676,1.2395908346972178,70178.88707037643,71097.01309328969,69040.38461538461,2862.7283142389524,229473725.77741408,67878876715.3437,966882.6628477904,1545.3216039279869
000180,4706.9106699751865,107.59718775847809,1.6491976840363938,4723.375516956162,4830.492142266336,4617.159636062862,493678.04135649296,1644468609.6517782,185416368565.75684,66168825.50868487,801.7601323407775
000210,82329.76287816843,1338.511856091578,1.6468928863450532,82335.07767784137,83605.80539656582,81081.19378577269,226510.38511856087,18720876693.51676,2865075748160.2617,34800000.0,89.83156173344236
000215,33249.46852003271,493.6222403924775,1.4648078495502863,33213.00081766149,33680.7031888798,32691.618969746523,14187.428454619789,533966940.106296,126347980376.12428,3800000.0,1034.2003270645953
000220,13077.62448979592,316.64489795918365,2.358269387755102,13115.804081632654,13461.477551020407,12794.514285714286,240489.34857142856,3723745863.020408,83364486801.15102,6354014.54367347,1383.9689795918368
000225,8342.90612244898,193.69795918367348,2.078187755102041,8365.910204081632,8609.68163265306,8145.110204081632,61682.46775510204,712525697.9795918,9456392088.081633,1133465.0,2218.884081632653
000227,20012.4591503268,508.8235294117647,2.1631617647058823,20088.848039215685,20588.07189542484,19549.101307189543,10365.0204248366,265040261.7647059,3283644297.385621,164080.0,2302.4125816993464
000230,16567.728785357736,234.0682196339434,1.3346921797004991,16589.617304492513,16839.850249584026,16302.720465890185,42898.384359401,962515614.9001664,212127523376.43927,11960733.250415972,862.0016638935108
000240,18229.28979591837,242.31020408163263,1.4177551020408163,18225.24897959184,18500.922448979592,17959.877551020407,257964.07918367343,4208264817.869388,1695691690483.4612,93020173.0,139.25061224489795
000250,29781.22448979592,879.3714285714286,2.6668244897959186,29748.97142857143,30656.114285714284,28940.69387755102,459414.39020408166,16260954885.570612,660030902844.9061,22003776.13469388,364.1551020408163
000270,37070.489795918365,520.3265306122449,1.4253714285714283,37049.755102040814,37551.38775510204,36593.551020408166,1211669.2375510205,46117624293.860405,15027017818602.814,405363347.0,21.537142857142857
000300,930.578775510204,16.56326530612245,1.7796816326530611,931.6285714285714,950.3828571428572,913.7191836734694,900159.2555102041,857767886.4824489,87434321752.06448,95071603.01061223,1341.475918367347
000320,14601.01224489796,167.5183673469388,1.1329142857142858,14622.77551020408,14788.636734693877,14384.465306122447,13862.674285714284,201794200.17142856,193497426448.3592,13258667.57142857,764.3648979591836
000325,17994.69572368421,281.94901315789474,1.5734046052631578,18006.620065789473,18308.634868421053,17640.29605263158,1583.6488486842106,29878091.32401316,3333517382.8125,185250.0,2301.2162828947367
000327,19431.90709046455,310.7579462102689,1.586992665036675,19379.46210268949,19810.75794621027,19038.264058679702,4746.132029339853,101271916.13691932,1798228682.1515892,92540.0,2212.163814180929
000370,6469.632653061224,91.56734693877551,1.5857224489795918,6473.078367346939,6557.089795918368,6374.423673469388,386262.4171428572,2060543628.745306,679310729020.0,106890751.73469388,307.6620408163265
000390,8042.865306122449,120.55510204081632,1.4948244897959184,8056.759183673469,8163.869387755102,7926.391836734694,118291.76897959184,1076759304.0906122,204013684313.58368,25653521.89142857,731.84
000400,2629.6,40.12244897959184,1.536718367346939,2631.8448979591835,2671.7795918367347,2590.4897959183672,531953.0889795918,1431949067.522449,412872730744.16327,169922422.33469388,402.7779591836735
000430,4198.477551020408,61.159183673469386,1.466889795918367,4201.0,4274.526530612245,4131.45306122449,96942.9281632653,423011380.1469388,260305608163.2653,62000000.0,592.4
000440,26834.077112387204,402.9696472518458,1.668769483182937,26832.838392124693,27227.981952420017,26346.583264971287,39396.380639868745,486786295.98441344,43344605010.17227,2389705.835931091,1847.253486464315
000480,83857.22448979592,532.5714285714286,0.6406448979591837,83870.77551020408,84489.95918367348,83116.97959183673,1228.3289795918367,100415878.85714284,335428897959.18365,4000000.0,476.5477551020408
000490,7262.681632653062,131.33061224489796,1.7836163265306122,7287.359183673469,7416.857142857143,7134.440816326531,154927.79918367346,1223792562.6571429,172330434942.73468,23728210.0,820.294693877551
000500,21725.22448979592,326.734693877551,1.4863591836734693,21798.571428571428,22112.28571428572,21388.163265306124,12989.084897959185,306237569.9183673,90384472530.44896,4160347.0,1310.4669387755102
000520,17137.167346938775,578.7836734693877,2.7921142857142858,17154.29387755102,17774.326530612245,16600.906122448978,197859.58857142853,5086859687.265306,102721641866.28572,5878989.913469388,1303.5363265306123
000540,4610.620408163265,61.40816326530612,1.3720571428571429,4615.248979591836,4689.424489795919,4529.510204081633,100407.19836734694,438241542.71020406,296198450111.38776,64242645.0,568.2726530612244
000545,5746.318367346938,178.0,2.663216326530612,5761.591836734694,5969.146938775511,5570.502040816326,75201.51346938775,745658345.8367347,4413172506.122449,768000.0,2285.405714285714
000547,23746.81632653061,683.0612244897959,2.7907102040816327,23824.530612244896,24620.0,23054.73469387755,17047.382040816326,457963365.1020408,3647510987.755102,153600.0,2296.634285714286
000590,73034.04081632652,848.2448979591836,1.1889632653061224,73008.5306122449,73971.83673469388,71833.67346938775,2253.403265306122,163367963.51020408,84316485509.71428,1154482.0,1373.2702040816328
000640,129162.37623762376,2246.617161716172,1.6883003300330033,129102.47524752477,131525.6600660066,126806.35313531352,25414.89108910891,3514689710.3960395,750440585614.439,5914851.665841584,258.36138613861385
000650,83781.30612244898,918.8571428571428,1.1104489795918366,83986.32653061225,85010.69387755102,82854.20408163265,3488.063673469388,332337041.1020408,119741918336.32654,1429220.0,1085.4220408163264
000660,68804.73469387754,1197.265306122449,1.725077551020408,68875.4693877551,69796.48979591837,67880.40816326531,3798843.049795918,267298031983.89795,50090009580340.41,728002365.0,3.049795918367347
000670,861557.1428571428,11088.163265306122,1.2907428571428572,861339.5918367347,873355.5102040817,850369.7959183673,1894.705306122449,1584034664.489796,1587022719428.5715,1842040.0,150.17061224489797
000680,2910.1714285714284,32.50612244897959,1.2002367346938776,2919.195918367347,2949.934693877551,2868.669387755102,63884.14448979592,174709099.14693877,229329269905.15103,78802713.02693878,656.1232653061224
000700,6819.257142857143,111.36326530612244,1.621591836734694,6831.016326530612,6946.0204081632655,6692.240816326531,73355.03020408163,562541002.6571429,177585812493.94287,26041812.0,800.5681632653061
000720,44316.32653061225,992.1632653061224,2.1867183673469386,44376.04081632653,45193.51020408164,43518.57142857143,1156216.0702040817,59737655703.2,4934878442806.122,111355765.0,57.95755102040816
000725,113729.01639344262,4687.540983606557,3.09922131147541,113901.9262295082,118209.46721311477,109940.94262295082,5687.883606557377,1049842062.1721312,11242795644.590164,98856.0,2206.6344262295083
000760,18738.20408163265,283.7142857142857,1.5019102040816326,18805.877551020407,19215.26530612245,18397.34693877551,4847.244897959184,105695482.85714284,52466971428.57143,2800000.0,1735.174693877551
000810,259185.7142857143,2982.4489795918366,1.1951755102040815,258979.1836734693,262030.612244898,256299.5918367347,91839.17959183671,22768835483.00489,12278880967014.283,47374837.0,26.73551020408163
000815,174128.81632653062,1514.1224489795918,0.9025632653061224,174034.2857142857,175657.79591836734,172370.5306122449,6749.875102040816,1109333644.844898,555819181714.2858,3192000.0,319.6228571428572
000850,48035.34693877551,502.2040816326531,1.04294693877551,48031.87755102041,48519.10204081632,47409.755102040814,3394.722448979592,152931371.18367347,105677763265.30612,2200000.0,1195.0620408163263
000860,30029.755102040817,292.6122448979592,1.0244163265306123,30067.30612244898,30352.775510204083,29655.95918367347,10264.385306122447,295792534.1991837,195193408163.2653,6500000.0,779.6081632653061
000880,34641.42857142857,527.3877551020408,1.597257142857143,34659.91836734694,35149.02040816326,34156.65306122449,332656.79346938775,11044735298.176329,2596677664307.143,74958735.0,101.24
000885,25975.0,704.0032679738562,2.252205882352941,26077.08333333333,26761.356209150326,25357.67973856209,35940.290849673205,1546967016.6666667,12449661650.0,479294.0,2182.4436274509803
00088K,15688.82638215325,138.07953443258972,0.9040640155189136,15695.712900096993,15829.602327837052,15516.77982541222,83034.11445198837,1311213752.4539282,352559306459.7478,22472000.0,469.8477206595538
000890,1144.4538775510205,24.344489795918367,2.015183673469388,1144.8391836734693,1172.4391836734694,1123.2261224489796,4861135.990204082,6548823270.106938,115821023159.5796,102607550.10693878,1122.297142857143
000910,4473.065306122449,98.12244897959184,2.0633795918367346,4474.636734693878,4580.375510204081,4381.05306122449,682183.2008163265,4609773352.897959,69831791321.30205,15611619.0,1530.9142857142858
000950,25306.97959183673,477.9591836734694,1.8677795918367348,25338.73469387755,25920.61224489796,24793.232653061223,7918.74693877551,224677211.91836736,42515725714.28571,1680000.0,1875.2244897959183
000970,10012.726530612244,178.04897959183674,1.7420081632653062,10026.889795918369,10236.277551020408,9833.379591836734,123685.71591836736,1331393339.8530612,228295171261.2245,22800500.0,650.8089795918368
000990,19173.14285714286,423.1020408163265,2.199665306122449,19186.97959183673,19599.877551020407,18759.55102040816,658811.1640816326,14922856431.2,850991470871.3469,44382494.4522449,243.68244897959184
000995,43640.548281505726,1262.479541734861,2.2060965630114566,43791.85761047463,44977.08674304419,42473.89525368249,3488.113747954173,322620075.57283145,4901531820.785598,112316.0,2278.468085106383
001000,3003.536303630363,78.17491749174917,2.4288283828382835,3003.8044554455446,3112.388613861386,2927.342409240924,949983.3811881188,2922509305.7854786,62627359757.45875,23524375.39273928,1613.8506600660066
001020,1083.916736053289,27.65695253955037,2.3256452955870106,1088.271440466278,1121.0466278101585,1058.7410491257283,2508165.932556203,1992977303.364696,79701718850.82597,99125589.80932556,1461.66860949209
001040,153921.4693877551,2277.714285714286,1.500065306122449,154009.4693877551,156166.1224489796,151794.61224489796,82408.07836734694,12444307340.036736,4489962174116.245,29172524.530612245,67.23755102040816
001045,70256.73469387754,871.1428571428571,1.2698122448979592,70423.95918367348,71152.6530612245,69357.42857142857,7858.539591836735,499852579.3877551,158795887660.0,2260223.0,909.5004081632652
00104K,59234.47580645161,900.0,1.6068145161290324,59210.08064516129,59862.096774193546,58233.26612903226,16915.967741935485,960146931.25,250355222809.67743,4226512.0,635.0887096774194
001060,42385.91836734694,864.9795918367347,2.033183673469388,42447.22448979592,43396.89795918368,41623.42857142857,254204.7648979592,11122196332.734694,826561804474.1632,19610126.36571429,240.0742857142857
001065,30180.571428571428,798.9387755102041,2.235730612244898,30254.69387755102,31270.69387755102,29367.79591836735,13448.78612244898,693412778.1224489,4972328499.061225,163648.28408163265,2276.8726530612244
001067,45667.25265739983,1231.152902698283,2.340572363041701,45781.684382665575,47153.311529026985,44559.68928863451,5497.226492232216,334751623.67130005,3939295828.1684384,85859.63614063777,2292.886345053148
001070,40832.04488778055,572.6517040731504,1.356492103075644,40910.473815461344,41516.79135494597,40102.6600166251,12094.345802161264,266582117.12385705,87606004156.27597,3569459.6841230257,1370.128013300083
001080,18048.408163265307,247.0612244897959,1.3480897959183673,18040.081632653066,18318.28571428572,17753.632653061224,14833.808979591837,320154789.06122446,74900893877.55103,4150000.0,1463.5404081632653
001120,25295.27346938776,404.7510204081632,1.7063591836734693,25308.69387755102,25690.31020408164,24928.46530612245,241601.23836734693,5959517177.980408,980444799673.4694,38760000.0,223.93632653061223
001130,172451.02040816323,1656.9795918367347,0.9910857142857142,172276.24489795917,174060.6530612245,170073.8775510204,3078.902857142857,504756962.2,291442224489.7959,1690000.0,536.0963265306123
001140,12599.037551020409,373.8808163265306,2.941167346938776,12642.2106122449,13066.445714285714,12237.277551020408,405454.87346938776,1598426775.362449,32158916634.35592,8684603.889795918,1972.1926530612243
