date,nsi
20151201,119.02
20151202,119.58
20151203,121.65
20151204,120.14
20151205,119.18
20151206,118.51
20151207,118.54
20151208,121.35
20151209,118.42
20151210,117.92
20151211,119.17
20151212,119.45
20151213,118.68
20151214,116.56
20151215,114.26
20151216,115.28
20151217,117.46
20151218,116.3
20151219,115.44
20151220,116.47
20151221,118.23
20151222,119.15
20151223,119.28
20151224,115.48
20151225,115.06
20151226,112
20151227,110.81
20151228,108.17
20151229,106.74
20151230,106.64
20151231,104.94
20160101,103.31
20160102,104.04
20160103,104.29
20160104,105.64
20160105,108.12
20160106,107.23
20160107,108.05
20160108,108.49
20160109,110.89
20160110,111.11
20160111,113.39
20160112,111.48
20160113,112.11
20160114,114.36
20160115,116.01
20160116,116.94
20160117,117.44
20160118,115.06
20160119,116.45
20160120,116.73
20160121,114.44
20160122,112.56
20160123,113.03
20160124,113.1
20160125,111.62
20160126,111.3
20160127,111.08
20160128,114.01
20160129,117.28
20160130,116.61
20160131,116.09
20160201,117.71
20160202,116.2
20160203,115.98
20160204,115.41
20160205,115.04
20160206,113.75
20160207,113.2
20160208,113.14
20160209,113.65
20160210,113.04
20160211,107.46
20160212,100.65
20160213,97.84
20160214,97.38
20160215,97.16
20160216,100.07
20160217,103.42
20160218,108.85
20160219,112.36
20160220,116.41
20160221,115.45
20160222,116.55
20160223,115.91
20160224,114.01
20160225,111.99
20160226,113.45
20160227,114.52
20160228,116.59
20160229,117.25
20160301,115.35
20160302,110.62
20160303,110.72
20160304,110.66
20160305,109.23
20160306,108.41
20160307,107.48
20160308,109.2
20160309,112.27
20160310,112.09
20160311,111.55
20160312,114.35
20160313,115.71
20160314,116.98
20160315,118.52
20160316,119.91
20160317,121.15
20160318,121.69
20160319,120.69
20160320,120.33
20160321,121.78
20160322,120.58
20160323,121.91
20160324,121.09
20160325,118.57
20160326,116.09
20160327,115.25
20160328,112.51
20160329,112.79
20160330,113.76
20160331,116.51
20160401,118.06
20160402,118.92
20160403,121.29
20160404,121.87
20160405,122.16
20160406,119.52
20160407,117.56
20160408,119.19
20160409,119.09
20160410,118.19
20160411,117.94
20160412,116.18
20160413,116.48
20160414,115.84
20160415,114.31
20160416,114.84
20160417,113.9
20160418,113.53
20160419,112.57
20160420,114.35
20160421,114.01
20160422,113.74
20160423,111.77
20160424,109.89
20160425,107.93
20160426,106.44
20160427,102.67
20160428,104.37
20160429,105.41
20160430,106.12
20160501,106.17
20160502,106.31
20160503,108.49
20160504,112.89
20160505,112.21
20160506,107.19
20160507,105.08
20160508,107.17
20160509,107.98
20160510,107.82
20160511,106.8
20160512,107.37
20160513,111.97
20160514,115.6
20160515,114.06
20160516,115.07
20160517,114.84
20160518,114.94
20160519,113.32
20160520,110.19
20160521,108.51
20160522,109.46
20160523,107.87
20160524,108.61
20160525,105.72
20160526,105.18
20160527,104.73
20160528,101.37
20160529,100.31
20160530,100.59
20160531,100.41
20160601,100.39
20160602,102.58
20160603,102.19
20160604,105.05
20160605,106.65
20160606,106.83
20160607,104.11
20160608,105.63
20160609,105.7
20160610,107.38
20160611,105.38
20160612,103.49
20160613,102.7
20160614,102.72
20160615,99.47
20160616,95.99
20160617,93.41
20160618,94.7
20160619,95.33
20160620,92.78
20160621,96.4
20160622,98.57
20160623,101.65
20160624,105.11
20160625,101.85
20160626,101.19
20160627,103.23
20160628,100.76
20160629,102.1
20160630,102.58
20160701,103.22
20160702,109.09
20160703,111.41
20160704,112.21
20160705,115.05
20160706,114.34
20160707,112.64
20160708,116.64
20160709,115.75
20160710,115.6
20160711,115.92
20160712,115.06
20160713,117.4
20160714,119.31
20160715,115.62
20160716,116.17
20160717,115.97
20160718,119.37
20160719,119.49
20160720,117.4
20160721,117.77
20160722,119.91
20160723,120.72
20160724,120.74
20160725,119.99
20160726,120.63
20160727,123.59
20160728,124.79
20160729,126.03
20160730,126.49
20160731,127.22
20160801,127.36
20160802,127.25
20160803,124.51
20160804,122.27
20160805,120.11
20160806,117.96
20160807,117.64
20160808,111.97
20160809,112.29
20160810,113.51
20160811,114.33
20160812,114.62
20160813,115.11
20160814,114.85
20160815,118.87
20160816,115.25
20160817,115.59
20160818,115.74
20160819,116.31
20160820,116.32
20160821,116.4
20160822,118.05
20160823,119.29
20160824,119.36
20160825,119.68
20160826,115.69
20160827,113.42
20160828,112.09
20160829,109.08
20160830,108.78
20160831,106.38
20160901,101.54
20160902,101.5
