submit_id,hold_d
IDX00001,259.0
IDX00002,557.0
IDX00003,234.0
IDX00004,401.0
IDX00005,15.0
IDX00006,157.0
IDX00007,171.0
IDX00008,1015.0
IDX00009,137.0
IDX00010,857.0
IDX00011,199.0
IDX00012,1132.0
IDX00013,758.0
IDX00014,10.0
IDX00015,18.0
IDX00016,5.0
IDX00017,187.0
IDX00018,117.0
IDX00019,470.0
IDX00020,13.0
IDX00021,10.0
IDX00022,1075.0
IDX00023,699.0
IDX00024,27.0
IDX00025,3.0
IDX00026,111.0
IDX00027,111.0
IDX00028,401.0
IDX00029,752.0
IDX00030,470.0
IDX00031,115.0
IDX00032,115.0
IDX00033,1071.0
IDX00034,215.0
IDX00035,19.0
IDX00036,131.0
IDX00037,217.0
IDX00038,1142.0
IDX00039,217.0
IDX00040,1087.0
IDX00041,1093.0
IDX00042,715.0
IDX00043,1093.0
IDX00044,1099.0
IDX00045,1090.0
IDX00046,1030.0
IDX00047,1096.0
IDX00048,1093.0
IDX00049,1115.0
IDX00050,1077.0
IDX00051,1113.0
IDX00052,1096.0
IDX00053,237.0
IDX00054,1006.0
IDX00055,1005.0
IDX00056,237.0
IDX00057,219.0
IDX00058,1005.0
IDX00059,1012.0
IDX00060,1005.0
IDX00061,123.0
IDX00062,1006.0
IDX00063,949.0
IDX00064,1006.0
IDX00065,934.0
IDX00066,961.0
IDX00067,1001.0
IDX00068,120.0
IDX00069,203.0
IDX00070,954.0
IDX00071,972.0
IDX00072,974.0
IDX00073,1005.0
IDX00074,1089.0
IDX00075,20.0
IDX00076,251.0
IDX00077,42.0
IDX00078,40.0
IDX00079,246.0
IDX00080,18.0
IDX00081,2.0
IDX00082,1139.0
IDX00083,1124.0
IDX00084,1040.0
IDX00085,12.0
IDX00086,301.0
IDX00087,238.0
IDX00088,38.0
IDX00089,17.0
IDX00090,8.0
IDX00091,2.0
IDX00092,369.0
IDX00093,40.0
IDX00094,20.0
IDX00095,2.0
IDX00096,15.0
IDX00097,13.0
IDX00098,3.0
IDX00099,37.0
IDX00100,171.0
IDX00101,8.0
IDX00102,13.0
IDX00103,62.0
IDX00104,751.0
IDX00105,33.0
IDX00106,156.0
IDX00107,2.0
IDX00108,3.0
IDX00109,159.0
IDX00110,96.0
IDX00111,480.0
IDX00112,163.0
IDX00113,118.0
IDX00114,8.0
IDX00115,395.0
IDX00116,25.0
IDX00117,20.0
IDX00118,3.0
IDX00119,7.0
IDX00120,161.0
IDX00121,2.0
IDX00122,117.0
IDX00123,405.0
IDX00124,82.0
IDX00125,756.0
IDX00126,985.0
IDX00127,407.0
IDX00128,477.0
IDX00129,973.0
IDX00130,1.0
IDX00131,983.0
IDX00132,45.0
IDX00133,266.0
IDX00134,969.0
IDX00135,158.0
IDX00136,11.0
IDX00137,176.0
IDX00138,970.0
IDX00139,969.0
IDX00140,269.0
IDX00141,178.0
IDX00142,16.0
IDX00143,162.0
IDX00144,12.0
IDX00145,228.0
IDX00146,43.0
IDX00147,143.0
IDX00148,61.0
IDX00149,136.0
IDX00150,62.0
IDX00151,13.0
IDX00152,1140.0
IDX00153,1152.0
IDX00154,1148.0
IDX00155,1139.0
IDX00156,1161.0
IDX00157,645.0
IDX00158,963.0
IDX00159,154.0
IDX00160,8.0
IDX00161,59.0
IDX00162,239.0
IDX00163,2.0
IDX00164,5.0
IDX00165,1023.0
IDX00166,12.0
IDX00167,26.0
IDX00168,19.0
IDX00169,4.0
IDX00170,2.0
IDX00171,7.0
IDX00172,7.0
IDX00173,7.0
IDX00174,343.0
IDX00175,1086.0
IDX00176,1010.0
IDX00177,3.0
IDX00178,16.0
IDX00179,48.0
IDX00180,11.0
IDX00181,12.0
IDX00182,29.0
IDX00183,12.0
IDX00184,205.0
IDX00185,975.0
IDX00186,705.0
IDX00187,11.0
IDX00188,20.0
IDX00189,33.0
IDX00190,42.0
IDX00191,11.0
IDX00192,15.0
IDX00193,28.0
IDX00194,25.0
IDX00195,45.0
IDX00196,27.0
IDX00197,101.0
IDX00198,365.0
IDX00199,1034.0
IDX00200,99.0
IDX00201,131.0
IDX00202,13.0
IDX00203,20.0
IDX00204,56.0
IDX00205,137.0
IDX00206,170.0
IDX00207,144.0
IDX00208,1052.0
IDX00209,99.0
IDX00210,81.0
IDX00211,143.0
IDX00212,194.0
IDX00213,52.0
IDX00214,68.0
IDX00215,132.0
IDX00216,125.0
IDX00217,89.0
IDX00218,141.0
IDX00219,97.0
IDX00220,9.0
IDX00221,974.0
IDX00222,90.0
IDX00223,2.0
IDX00224,32.0
IDX00225,60.0
IDX00226,5.0
IDX00227,5.0
IDX00228,1007.0
IDX00229,180.0
IDX00230,407.0
IDX00231,48.0
IDX00232,1021.0
IDX00233,301.0
IDX00234,94.0
IDX00235,134.0
IDX00236,700.0
IDX00237,35.0
IDX00238,150.0
IDX00239,133.0
IDX00240,126.0
IDX00241,712.0
IDX00242,731.0
IDX00243,246.0
IDX00244,98.0
IDX00245,210.0
IDX00246,101.0
IDX00247,169.0
IDX00248,93.0
IDX00249,74.0
IDX00250,60.0
IDX00251,204.0
IDX00252,59.0
IDX00253,32.0
IDX00254,11.0
IDX00255,4.0
IDX00256,154.0
IDX00257,20.0
IDX00258,14.0
IDX00259,1015.0
IDX00260,643.0
IDX00261,244.0
IDX00262,10.0
IDX00263,1120.0
IDX00264,205.0
IDX00265,12.0
IDX00266,977.0
IDX00267,90.0
IDX00268,19.0
IDX00269,116.0
IDX00270,128.0
IDX00271,1001.0
IDX00272,1136.0
IDX00273,1090.0
IDX00274,1013.0
IDX00275,1046.0
IDX00276,1039.0
IDX00277,1139.0
IDX00278,925.0
IDX00279,1012.0
IDX00280,1102.0
IDX00281,1017.0
IDX00282,1100.0
IDX00283,17.0
IDX00284,28.0
IDX00285,3.0
IDX00286,15.0
IDX00287,25.0
IDX00288,399.0
IDX00289,10.0
IDX00290,52.0
IDX00291,13.0
IDX00292,40.0
IDX00293,33.0
IDX00294,3.0
IDX00295,18.0
IDX00296,32.0
IDX00297,25.0
IDX00298,7.0
IDX00299,955.0
IDX00300,58.0
IDX00301,8.0
IDX00302,8.0
IDX00303,2.0
IDX00304,61.0
IDX00305,37.0
IDX00306,107.0
IDX00307,51.0
IDX00308,44.0
IDX00309,61.0
IDX00310,37.0
IDX00311,2.0
IDX00312,125.0
IDX00313,60.0
IDX00314,224.0
IDX00315,44.0
IDX00316,461.0
IDX00317,209.0
IDX00318,208.0
IDX00319,228.0
IDX00320,344.0
IDX00321,33.0
IDX00322,221.0
IDX00323,207.0
IDX00324,10.0
IDX00325,8.0
IDX00326,27.0
IDX00327,70.0
IDX00328,355.0
IDX00329,206.0
IDX00330,51.0
IDX00331,175.0
IDX00332,317.0
IDX00333,8.0
IDX00334,183.0
IDX00335,59.0
IDX00336,42.0
IDX00337,122.0
IDX00338,164.0
IDX00339,244.0
IDX00340,184.0
IDX00341,192.0
IDX00342,171.0
IDX00343,226.0
IDX00344,120.0
IDX00345,56.0
IDX00346,57.0
IDX00347,30.0
IDX00348,225.0
IDX00349,168.0
IDX00350,402.0
IDX00351,44.0
IDX00352,35.0
IDX00353,178.0
IDX00354,35.0
IDX00355,87.0
IDX00356,181.0
IDX00357,37.0
IDX00358,27.0
IDX00359,37.0
IDX00360,51.0
IDX00361,222.0
IDX00362,225.0
IDX00363,56.0
IDX00364,254.0
IDX00365,163.0
IDX00366,192.0
IDX00367,244.0
IDX00368,154.0
IDX00369,163.0
IDX00370,207.0
IDX00371,143.0
IDX00372,47.0
IDX00373,143.0
IDX00374,345.0
IDX00375,107.0
IDX00376,493.0
IDX00377,143.0
IDX00378,244.0
IDX00379,186.0
IDX00380,206.0
IDX00381,118.0
IDX00382,171.0
IDX00383,171.0
IDX00384,107.0
IDX00385,224.0
IDX00386,16.0
IDX00387,227.0
IDX00388,83.0
IDX00389,44.0
IDX00390,154.0
IDX00391,183.0
IDX00392,206.0
IDX00393,146.0
IDX00394,143.0
IDX00395,37.0
IDX00396,224.0
IDX00397,220.0
IDX00398,44.0
IDX00399,42.0
IDX00400,120.0
IDX00401,350.0
IDX00402,224.0
IDX00403,133.0
IDX00404,44.0
IDX00405,406.0
IDX00406,20.0
IDX00407,57.0
IDX00408,10.0
IDX00409,370.0
IDX00410,128.0
IDX00411,131.0
IDX00412,644.0
IDX00413,214.0
IDX00414,938.0
IDX00415,947.0
IDX00416,277.0
IDX00417,123.0
IDX00418,937.0
IDX00419,22.0
IDX00420,952.0
IDX00421,12.0
IDX00422,564.0
IDX00423,119.0
IDX00424,132.0
IDX00425,289.0
IDX00426,1014.0
IDX00427,17.0
IDX00428,967.0
IDX00429,130.0
IDX00430,124.0
IDX00431,39.0
IDX00432,274.0
IDX00433,114.0
IDX00434,3.0
IDX00435,21.0
IDX00436,128.0
IDX00437,123.0
IDX00438,960.0
IDX00439,112.0
IDX00440,165.0
IDX00441,813.0
IDX00442,169.0
IDX00443,388.0
IDX00444,172.0
IDX00445,169.0
IDX00446,834.0
IDX00447,1105.0
IDX00448,1126.0
IDX00449,1118.0
IDX00450,1130.0
IDX00451,139.0
IDX00452,1055.0
IDX00453,1034.0
IDX00454,6.0
IDX00455,232.0
IDX00456,73.0
IDX00457,13.0
IDX00458,57.0
IDX00459,119.0
IDX00460,109.0
IDX00461,12.0
IDX00462,733.0
IDX00463,490.0
IDX00464,11.0
IDX00465,2.0
IDX00466,8.0
IDX00467,244.0
IDX00468,189.0
IDX00469,211.0
IDX00470,7.0
IDX00471,256.0
IDX00472,116.0
IDX00473,260.0
IDX00474,22.0
IDX00475,128.0
IDX00476,208.0
IDX00477,94.0
IDX00478,13.0
IDX00479,134.0
IDX00480,109.0
IDX00481,215.0
IDX00482,117.0
IDX00483,215.0
IDX00484,277.0
IDX00485,160.0
IDX00486,212.0
IDX00487,285.0
IDX00488,156.0
IDX00489,54.0
IDX00490,1077.0
IDX00491,128.0
IDX00492,260.0
IDX00493,28.0
IDX00494,220.0
IDX00495,275.0
IDX00496,1076.0
IDX00497,322.0
IDX00498,2.0
IDX00499,6.0
IDX00500,7.0
IDX00501,7.0
IDX00502,134.0
IDX00503,26.0
IDX00504,5.0
IDX00505,15.0
IDX00506,1104.0
IDX00507,1103.0
IDX00508,73.0
IDX00509,1091.0
IDX00510,42.0
IDX00511,27.0
IDX00512,128.0
IDX00513,191.0
IDX00514,23.0
IDX00515,108.0
IDX00516,60.0
IDX00517,42.0
IDX00518,45.0
IDX00519,17.0
IDX00520,123.0
IDX00521,61.0
IDX00522,47.0
IDX00523,56.0
IDX00524,65.0
IDX00525,23.0
IDX00526,37.0
IDX00527,80.0
IDX00528,14.0
IDX00529,18.0
IDX00530,7.0
IDX00531,74.0
IDX00532,77.0
IDX00533,99.0
IDX00534,75.0
IDX00535,15.0
IDX00536,41.0
IDX00537,10.0
IDX00538,92.0
IDX00539,89.0
IDX00540,976.0
IDX00541,133.0
IDX00542,12.0
IDX00543,549.0
IDX00544,68.0
IDX00545,18.0
IDX00546,25.0
IDX00547,187.0
IDX00548,53.0
IDX00549,2.0
IDX00550,719.0
IDX00551,15.0
IDX00552,45.0
IDX00553,5.0
IDX00554,28.0
IDX00555,9.0
IDX00556,51.0
IDX00557,247.0
IDX00558,82.0
IDX00559,2.0
IDX00560,86.0
IDX00561,77.0
IDX00562,37.0
IDX00563,5.0
IDX00564,12.0
IDX00565,36.0
IDX00566,1008.0
IDX00567,69.0
IDX00568,373.0
IDX00569,273.0
IDX00570,297.0
IDX00571,63.0
IDX00572,308.0
IDX00573,378.0
IDX00574,176.0
IDX00575,379.0
IDX00576,7.0
IDX00577,123.0
IDX00578,2.0
IDX00579,2.0
IDX00580,5.0
IDX00581,7.0
IDX00582,2.0
IDX00583,88.0
IDX00584,62.0
IDX00585,979.0
IDX00586,52.0
IDX00587,963.0
IDX00588,1011.0
IDX00589,41.0
IDX00590,41.0
IDX00591,962.0
IDX00592,30.0
IDX00593,71.0
IDX00594,34.0
IDX00595,65.0
IDX00596,754.0
IDX00597,37.0
IDX00598,167.0
IDX00599,10.0
IDX00600,32.0
IDX00601,17.0
IDX00602,1075.0
IDX00603,17.0
IDX00604,8.0
IDX00605,1.0
IDX00606,977.0
IDX00607,2.0
IDX00608,3.0
IDX00609,20.0
IDX00610,14.0
IDX00611,1019.0
IDX00612,1022.0
IDX00613,974.0
IDX00614,964.0
IDX00615,1048.0
IDX00616,144.0
IDX00617,22.0
IDX00618,20.0
IDX00619,263.0
IDX00620,891.0
IDX00621,426.0
IDX00622,876.0
IDX00623,1112.0
IDX00624,425.0
IDX00625,11.0
IDX00626,137.0
IDX00627,130.0
IDX00628,8.0
IDX00629,618.0
IDX00630,703.0
IDX00631,2.0
IDX00632,10.0
IDX00633,65.0
IDX00634,7.0
IDX00635,43.0
IDX00636,32.0
IDX00637,8.0
IDX00638,341.0
IDX00639,28.0
IDX00640,13.0
IDX00641,13.0
IDX00642,2.0
IDX00643,60.0
IDX00644,314.0
IDX00645,17.0
IDX00646,708.0
IDX00647,180.0
IDX00648,47.0
IDX00649,1024.0
IDX00650,9.0
IDX00651,368.0
IDX00652,47.0
IDX00653,307.0
IDX00654,101.0
IDX00655,3.0
IDX00656,47.0
IDX00657,13.0
IDX00658,12.0
IDX00659,267.0
IDX00660,33.0
IDX00661,8.0
IDX00662,15.0
IDX00663,3.0
IDX00664,705.0
IDX00665,724.0
IDX00666,30.0
IDX00667,3.0
IDX00668,5.0
IDX00669,8.0
IDX00670,28.0
IDX00671,17.0
IDX00672,101.0
IDX00673,3.0
IDX00674,137.0
IDX00675,138.0
IDX00676,705.0
IDX00677,709.0
IDX00678,1020.0
IDX00679,139.0
IDX00680,9.0
IDX00681,3.0
IDX00682,11.0
IDX00683,245.0
IDX00684,980.0
IDX00685,644.0
IDX00686,51.0
IDX00687,149.0
IDX00688,111.0
IDX00689,38.0
IDX00690,17.0
IDX00691,38.0
IDX00692,995.0
IDX00693,12.0
IDX00694,204.0
IDX00695,12.0
IDX00696,297.0
IDX00697,297.0
IDX00698,126.0
IDX00699,173.0
IDX00700,172.0
IDX00701,299.0
IDX00702,158.0
IDX00703,22.0
IDX00704,41.0
IDX00705,199.0
IDX00706,1013.0
IDX00707,1016.0
IDX00708,673.0
IDX00709,629.0
IDX00710,730.0
IDX00711,913.0
IDX00712,1014.0
IDX00713,531.0
IDX00714,664.0
IDX00715,629.0
IDX00716,1017.0
IDX00717,525.0
IDX00718,921.0
IDX00719,1089.0
IDX00720,1016.0
IDX00721,1017.0
IDX00722,964.0
IDX00723,1015.0
IDX00724,641.0
IDX00725,775.0
IDX00726,390.0
IDX00727,774.0
IDX00728,1018.0
