submit_id,hold_d
IDX00001,44.0
IDX00002,203.0
IDX00003,44.0
IDX00004,100.0
IDX00005,8.0
IDX00006,87.0
IDX00007,80.0
IDX00008,418.0
IDX00009,65.0
IDX00010,239.0
IDX00011,-16.0
IDX00012,856.0
IDX00013,286.0
IDX00014,9.0
IDX00015,12.0
IDX00016,10.0
IDX00017,52.0
IDX00018,41.0
IDX00019,142.0
IDX00020,12.0
IDX00021,10.0
IDX00022,962.0
IDX00023,389.0
IDX00024,17.0
IDX00025,9.0
IDX00026,39.0
IDX00027,40.0
IDX00028,153.0
IDX00029,440.0
IDX00030,144.0
IDX00031,28.0
IDX00032,30.0
IDX00033,726.0
IDX00034,91.0
IDX00035,18.0
IDX00036,77.0
IDX00037,120.0
IDX00038,817.0
IDX00039,99.0
IDX00040,886.0
IDX00041,908.0
IDX00042,406.0
IDX00043,943.0
IDX00044,829.0
IDX00045,1006.0
IDX00046,569.0
IDX00047,877.0
IDX00048,874.0
IDX00049,999.0
IDX00050,972.0
IDX00051,877.0
IDX00052,906.0
IDX00053,60.0
IDX00054,452.0
IDX00055,549.0
IDX00056,38.0
IDX00057,19.0
IDX00058,554.0
IDX00059,488.0
IDX00060,656.0
IDX00061,52.0
IDX00062,545.0
IDX00063,124.0
IDX00064,572.0
IDX00065,384.0
IDX00066,121.0
IDX00067,579.0
IDX00068,57.0
IDX00069,72.0
IDX00070,116.0
IDX00071,183.0
IDX00072,101.0
IDX00073,519.0
IDX00074,1001.0
IDX00075,10.0
IDX00076,51.0
IDX00077,16.0
IDX00078,16.0
IDX00079,46.0
IDX00080,9.0
IDX00081,3.0
IDX00082,581.0
IDX00083,683.0
IDX00084,631.0
IDX00085,6.0
IDX00086,29.0
IDX00087,62.0
IDX00088,14.0
IDX00089,5.0
IDX00090,2.0
IDX00091,1.0
IDX00092,128.0
IDX00093,15.0
IDX00094,8.0
IDX00095,8.0
IDX00096,8.0
IDX00097,2.0
IDX00098,2.0
IDX00099,11.0
IDX00100,17.0
IDX00101,5.0
IDX00102,7.0
IDX00103,15.0
IDX00104,172.0
IDX00105,12.0
IDX00106,54.0
IDX00107,1.0
IDX00108,1.0
IDX00109,29.0
IDX00110,27.0
IDX00111,146.0
IDX00112,46.0
IDX00113,35.0
IDX00114,4.0
IDX00115,109.0
IDX00116,11.0
IDX00117,8.0
IDX00118,4.0
IDX00119,3.0
IDX00120,49.0
IDX00121,3.0
IDX00122,17.0
IDX00123,120.0
IDX00124,27.0
IDX00125,250.0
IDX00126,137.0
IDX00127,109.0
IDX00128,141.0
IDX00129,86.0
IDX00130,-2.0
IDX00131,162.0
IDX00132,8.0
IDX00133,13.0
IDX00134,37.0
IDX00135,8.0
IDX00136,1.0
IDX00137,-2.0
IDX00138,8.0
IDX00139,19.0
