submit_id,hold_d
IDX00001,254.0
IDX00002,556.0
IDX00003,229.0
IDX00004,387.0
IDX00005,15.0
IDX00006,151.0
IDX00007,164.0
IDX00008,1123.0
IDX00009,134.0
IDX00010,845.0
IDX00011,202.0
IDX00012,1113.0
IDX00013,771.0
IDX00014,10.0
IDX00015,18.0
IDX00016,5.0
IDX00017,186.0
IDX00018,117.0
IDX00019,456.0
IDX00020,13.0
IDX00021,10.0
IDX00022,1121.0
IDX00023,700.0
IDX00024,27.0
IDX00025,3.0
IDX00026,112.0
IDX00027,112.0
IDX00028,391.0
IDX00029,769.0
IDX00030,456.0
IDX00031,115.0
IDX00032,115.0
IDX00033,1136.0
IDX00034,214.0
IDX00035,20.0
IDX00036,128.0
IDX00037,214.0
IDX00038,1142.0
IDX00039,214.0
IDX00040,1125.0
IDX00041,1125.0
IDX00042,716.0
IDX00043,1126.0
IDX00044,1132.0
IDX00045,1125.0
IDX00046,1017.0
IDX00047,1125.0
IDX00048,1126.0
IDX00049,1123.0
IDX00050,1125.0
IDX00051,1130.0
IDX00052,1126.0
IDX00053,230.0
IDX00054,1062.0
IDX00055,1094.0
IDX00056,240.0
IDX00057,217.0
IDX00058,1022.0
IDX00059,1021.0
IDX00060,1109.0
IDX00061,123.0
IDX00062,1095.0
IDX00063,1091.0
IDX00064,1108.0
IDX00065,944.0
IDX00066,1091.0
IDX00067,1095.0
IDX00068,122.0
IDX00069,201.0
IDX00070,1095.0
IDX00071,1106.0
IDX00072,1109.0
IDX00073,1091.0
IDX00074,1121.0
IDX00075,20.0
IDX00076,250.0
IDX00077,43.0
IDX00078,40.0
IDX00079,244.0
IDX00080,18.0
IDX00081,2.0
IDX00082,1128.0
IDX00083,1150.0
IDX00084,1128.0
IDX00085,12.0
IDX00086,298.0
IDX00087,235.0
IDX00088,38.0
IDX00089,17.0
IDX00090,8.0
IDX00091,2.0
IDX00092,359.0
IDX00093,40.0
IDX00094,20.0
IDX00095,2.0
IDX00096,15.0
IDX00097,13.0
IDX00098,3.0
IDX00099,37.0
IDX00100,172.0
IDX00101,8.0
IDX00102,13.0
IDX00103,62.0
IDX00104,768.0
IDX00105,33.0
IDX00106,155.0
IDX00107,2.0
IDX00108,3.0
IDX00109,158.0
IDX00110,97.0
IDX00111,468.0
IDX00112,167.0
IDX00113,118.0
IDX00114,8.0
IDX00115,387.0
IDX00116,25.0
IDX00117,20.0
IDX00118,3.0
IDX00119,7.0
IDX00120,160.0
IDX00121,2.0
IDX00122,118.0
IDX00123,396.0
IDX00124,82.0
IDX00125,764.0
IDX00126,1119.0
IDX00127,395.0
IDX00128,468.0
IDX00129,1028.0
IDX00130,2.0
IDX00131,1112.0
IDX00132,47.0
IDX00133,259.0
IDX00134,1107.0
IDX00135,158.0
IDX00136,12.0
IDX00137,178.0
IDX00138,1112.0
IDX00139,1107.0
IDX00140,264.0
IDX00141,177.0
IDX00142,17.0
IDX00143,163.0
IDX00144,12.0
IDX00145,225.0
IDX00146,42.0
IDX00147,141.0
IDX00148,63.0
IDX00149,138.0
IDX00150,62.0
IDX00151,13.0
IDX00152,1162.0
IDX00153,1136.0
IDX00154,1144.0
IDX00155,1144.0
IDX00156,1129.0
IDX00157,652.0
IDX00158,1118.0
IDX00159,155.0
IDX00160,8.0
IDX00161,60.0
IDX00162,237.0
IDX00163,2.0
IDX00164,5.0
IDX00165,1118.0
IDX00166,13.0
IDX00167,27.0
IDX00168,20.0
IDX00169,5.0
IDX00170,2.0
IDX00171,7.0
IDX00172,7.0
IDX00173,7.0
IDX00174,336.0
IDX00175,1127.0
IDX00176,1103.0
IDX00177,3.0
IDX00178,17.0
IDX00179,49.0
IDX00180,10.0
IDX00181,10.0
IDX00182,28.0
IDX00183,10.0
IDX00184,203.0
IDX00185,1125.0
IDX00186,700.0
IDX00187,12.0
IDX00188,20.0
IDX00189,33.0
