submit_id,hold_d
IDX00001,32.0
IDX00002,115.0
IDX00003,50.0
IDX00004,62.0
IDX00005,7.0
IDX00006,48.0
IDX00007,56.0
IDX00008,467.0
IDX00009,32.0
IDX00010,342.0
IDX00011,-7.0
IDX00012,960.0
IDX00013,415.0
IDX00014,5.0
IDX00015,11.0
IDX00016,1.0
IDX00017,77.0
IDX00018,49.0
IDX00019,203.0
IDX00020,8.0
IDX00021,4.0
IDX00022,972.0
IDX00023,198.0
IDX00024,8.0
IDX00025,0.0
IDX00026,51.0
IDX00027,47.0
IDX00028,211.0
IDX00029,332.0
IDX00030,167.0
IDX00031,29.0
IDX00032,28.0
IDX00033,631.0
IDX00034,88.0
IDX00035,12.0
IDX00036,52.0
IDX00037,81.0
IDX00038,1026.0
IDX00039,85.0
IDX00040,955.0
IDX00041,911.0
IDX00042,316.0
IDX00043,932.0
IDX00044,934.0
IDX00045,1091.0
IDX00046,624.0
IDX00047,1068.0
IDX00048,948.0
IDX00049,1042.0
IDX00050,935.0
IDX00051,933.0
IDX00052,1019.0
IDX00053,34.0
IDX00054,458.0
IDX00055,551.0
IDX00056,13.0
IDX00057,-15.0
IDX00058,591.0
IDX00059,476.0
IDX00060,584.0
IDX00061,43.0
IDX00062,575.0
IDX00063,131.0
IDX00064,637.0
IDX00065,423.0
IDX00066,143.0
IDX00067,597.0
IDX00068,35.0
IDX00069,86.0
IDX00070,130.0
IDX00071,152.0
IDX00072,47.0
IDX00073,552.0
IDX00074,830.0
IDX00075,8.0
IDX00076,74.0
IDX00077,16.0
IDX00078,13.0
IDX00079,56.0
IDX00080,7.0
IDX00081,2.0
IDX00082,876.0
IDX00083,905.0
IDX00084,713.0
IDX00085,6.0
IDX00086,30.0
IDX00087,73.0
IDX00088,15.0
IDX00089,4.0
IDX00090,1.0
IDX00091,2.0
IDX00092,127.0
IDX00093,16.0
IDX00094,7.0
IDX00095,3.0
IDX00096,7.0
IDX00097,2.0
IDX00098,2.0
IDX00099,12.0
IDX00100,13.0
IDX00101,4.0
IDX00102,6.0
IDX00103,20.0
IDX00104,141.0
IDX00105,11.0
IDX00106,41.0
IDX00107,0.0
IDX00108,1.0
IDX00109,37.0
IDX00110,35.0
IDX00111,140.0
IDX00112,61.0
IDX00113,41.0
IDX00114,5.0
IDX00115,143.0
IDX00116,11.0
IDX00117,8.0
IDX00118,3.0
IDX00119,4.0
IDX00120,50.0
IDX00121,3.0
IDX00122,15.0
IDX00123,142.0
IDX00124,29.0
IDX00125,259.0
IDX00126,69.0
IDX00127,118.0
IDX00128,115.0
IDX00129,46.0
IDX00130,-1.0
IDX00131,27.0
IDX00132,12.0
IDX00133,9.0
IDX00134,53.0
IDX00135,13.0
IDX00136,2.0
IDX00137,10.0
IDX00138,4.0
IDX00139,33.0
IDX00140,10.0
IDX00141,15.0
IDX00142,3.0
IDX00143,13.0
IDX00144,3.0
IDX00145,30.0
IDX00146,13.0
IDX00147,11.0
IDX00148,-1.0
IDX00149,8.0
IDX00150,13.0
IDX00151,3.0
IDX00152,952.0
IDX00153,985.0
IDX00154,935.0
IDX00155,902.0
IDX00156,991.0
IDX00157,111.0
IDX00158,15.0
IDX00159,19.0
IDX00160,2.0
IDX00161,7.0
IDX00162,48.0
IDX00163,-0.0
IDX00164,1.0
IDX00165,693.0
IDX00166,5.0
IDX00167,5.0
IDX00168,4.0
IDX00169,3.0
IDX00170,1.0
IDX00171,0.0
IDX00172,-2.0
IDX00173,3.0
IDX00174,76.0
IDX00175,1009.0
IDX00176,464.0
IDX00177,-3.0
IDX00178,8.0
IDX00179,16.0
IDX00180,36.0
IDX00181,26.0
IDX00182,11.0
IDX00183,16.0
IDX00184,57.0
IDX00185,23.0
IDX00186,105.0
IDX00187,2.0
IDX00188,3.0
IDX00189,6.0
IDX00190,14.0
IDX00191,1.0
IDX00192,1.0
IDX00193,6.0
IDX00194,6.0
IDX00195,9.0
IDX00196,11.0
IDX00197,13.0
IDX00198,32.0
IDX00199,841.0
IDX00200,82.0
IDX00201,35.0
IDX00202,5.0
IDX00203,54.0
IDX00204,0.0
IDX00205,-3.0
IDX00206,70.0
IDX00207,42.0
IDX00208,976.0
IDX00209,29.0
IDX00210,14.0
IDX00211,43.0
IDX00212,65.0
IDX00213,13.0
IDX00214,14.0
IDX00215,54.0
IDX00216,17.0
IDX00217,51.0
IDX00218,45.0
IDX00219,20.0
IDX00220,3.0
IDX00221,361.0
IDX00222,20.0
IDX00223,1.0
IDX00224,7.0
IDX00225,7.0
IDX00226,2.0
IDX00227,1.0
IDX00228,452.0
IDX00229,53.0
IDX00230,124.0
IDX00231,64.0
IDX00232,404.0
IDX00233,25.0
IDX00234,29.0
IDX00235,62.0
IDX00236,264.0
IDX00237,14.0
IDX00238,31.0
IDX00239,17.0
IDX00240,49.0
IDX00241,239.0
IDX00242,87.0
IDX00243,80.0
IDX00244,-0.0
IDX00245,23.0
IDX00246,-4.0
IDX00247,44.0
IDX00248,29.0
IDX00249,24.0
IDX00250,13.0
IDX00251,14.0
IDX00252,-8.0
IDX00253,9.0
IDX00254,-4.0
IDX00255,2.0
IDX00256,20.0
IDX00257,4.0
IDX00258,4.0
IDX00259,570.0
IDX00260,102.0
IDX00261,65.0
IDX00262,4.0
IDX00263,1019.0
IDX00264,47.0
IDX00265,5.0
IDX00266,25.0
IDX00267,26.0
IDX00268,6.0
IDX00269,21.0
IDX00270,24.0
IDX00271,412.0
IDX00272,1042.0
IDX00273,945.0
IDX00274,438.0
IDX00275,499.0
IDX00276,825.0
IDX00277,886.0
