submit_id,hold_d
IDX00001,253.0
IDX00002,550.0
IDX00003,232.0
IDX00004,393.0
IDX00005,15.0
IDX00006,154.0
IDX00007,168.0
IDX00008,916.0
IDX00009,134.0
IDX00010,798.0
IDX00011,198.0
IDX00012,1082.0
IDX00013,755.0
IDX00014,10.0
IDX00015,17.0
IDX00016,5.0
IDX00017,187.0
IDX00018,117.0
IDX00019,463.0
IDX00020,13.0
IDX00021,10.0
IDX00022,1052.0
IDX00023,669.0
IDX00024,26.0
IDX00025,3.0
IDX00026,110.0
IDX00027,110.0
IDX00028,393.0
IDX00029,760.0
IDX00030,473.0
IDX00031,115.0
IDX00032,115.0
IDX00033,965.0
IDX00034,217.0
IDX00035,20.0
IDX00036,128.0
IDX00037,216.0
IDX00038,1143.0
IDX00039,217.0
IDX00040,1082.0
IDX00041,1118.0
IDX00042,714.0
IDX00043,1067.0
IDX00044,1138.0
IDX00045,1085.0
IDX00046,943.0
IDX00047,1081.0
IDX00048,1139.0
IDX00049,1134.0
IDX00050,1124.0
IDX00051,1148.0
IDX00052,1051.0
IDX00053,235.0
IDX00054,887.0
IDX00055,901.0
IDX00056,222.0
IDX00057,213.0
IDX00058,884.0
IDX00059,886.0
IDX00060,901.0
IDX00061,126.0
IDX00062,896.0
IDX00063,870.0
IDX00064,902.0
IDX00065,855.0
IDX00066,868.0
IDX00067,897.0
IDX00068,116.0
IDX00069,200.0
IDX00070,870.0
IDX00071,875.0
IDX00072,858.0
IDX00073,899.0
IDX00074,1065.0
IDX00075,19.0
IDX00076,247.0
IDX00077,42.0
IDX00078,40.0
IDX00079,243.0
IDX00080,17.0
IDX00081,2.0
IDX00082,1066.0
IDX00083,1136.0
IDX00084,1008.0
IDX00085,12.0
IDX00086,296.0
IDX00087,232.0
IDX00088,38.0
IDX00089,17.0
IDX00090,8.0
IDX00091,2.0
IDX00092,360.0
IDX00093,40.0
IDX00094,20.0
IDX00095,2.0
IDX00096,14.0
IDX00097,13.0
IDX00098,3.0
IDX00099,37.0
IDX00100,171.0
IDX00101,8.0
IDX00102,13.0
IDX00103,61.0
IDX00104,764.0
IDX00105,33.0
IDX00106,156.0
IDX00107,2.0
IDX00108,3.0
IDX00109,160.0
IDX00110,96.0
IDX00111,469.0
IDX00112,161.0
IDX00113,117.0
IDX00114,8.0
IDX00115,387.0
IDX00116,25.0
IDX00117,20.0
IDX00118,3.0
IDX00119,7.0
IDX00120,160.0
IDX00121,2.0
IDX00122,117.0
IDX00123,397.0
IDX00124,82.0
IDX00125,729.0
IDX00126,913.0
IDX00127,386.0
IDX00128,480.0
IDX00129,916.0
IDX00130,1.0
IDX00131,835.0
IDX00132,46.0
IDX00133,260.0
IDX00134,855.0
IDX00135,162.0
IDX00136,12.0
IDX00137,178.0
IDX00138,857.0
IDX00139,859.0
IDX00140,262.0
IDX00141,178.0
IDX00142,17.0
IDX00143,164.0
IDX00144,12.0
IDX00145,228.0
IDX00146,41.0
IDX00147,147.0
IDX00148,60.0
IDX00149,136.0
IDX00150,61.0
IDX00151,13.0
IDX00152,1168.0
IDX00153,1134.0
IDX00154,1131.0
IDX00155,1142.0
IDX00156,1131.0
IDX00157,644.0
IDX00158,940.0
IDX00159,157.0
IDX00160,8.0
IDX00161,58.0
IDX00162,238.0
IDX00163,2.0
IDX00164,5.0
IDX00165,961.0
IDX00166,13.0
IDX00167,27.0
IDX00168,20.0
IDX00169,5.0
IDX00170,2.0
IDX00171,7.0
IDX00172,7.0
IDX00173,7.0
IDX00174,333.0
IDX00175,1169.0
IDX00176,954.0
IDX00177,2.0
IDX00178,16.0
IDX00179,47.0
