submit_id,hold_d
IDX00001,255.0
IDX00002,550.0
IDX00003,231.0
IDX00004,395.0
IDX00005,15.0
IDX00006,155.0
IDX00007,167.0
IDX00008,1011.0
IDX00009,135.0
IDX00010,863.0
IDX00011,202.0
IDX00012,1162.0
IDX00013,764.0
IDX00014,10.0
IDX00015,18.0
IDX00016,5.0
IDX00017,188.0
IDX00018,117.0
IDX00019,461.0
IDX00020,13.0
IDX00021,10.0
IDX00022,1167.0
IDX00023,673.0
IDX00024,27.0
IDX00025,3.0
IDX00026,112.0
IDX00027,112.0
IDX00028,397.0
IDX00029,756.0
IDX00030,460.0
IDX00031,115.0
IDX00032,115.0
IDX00033,1015.0
IDX00034,212.0
IDX00035,20.0
IDX00036,127.0
IDX00037,212.0
IDX00038,1172.0
IDX00039,211.0
IDX00040,1032.0
IDX00041,1162.0
IDX00042,695.0
IDX00043,1138.0
IDX00044,1164.0
IDX00045,1129.0
IDX00046,986.0
IDX00047,1052.0
IDX00048,1163.0
IDX00049,1165.0
IDX00050,1163.0
IDX00051,1162.0
IDX00052,1126.0
IDX00053,232.0
IDX00054,991.0
IDX00055,990.0
IDX00056,236.0
IDX00057,214.0
IDX00058,983.0
IDX00059,981.0
IDX00060,1003.0
IDX00061,124.0
IDX00062,989.0
IDX00063,959.0
IDX00064,1004.0
IDX00065,911.0
IDX00066,962.0
IDX00067,988.0
IDX00068,121.0
IDX00069,204.0
IDX00070,962.0
IDX00071,991.0
IDX00072,985.0
IDX00073,992.0
IDX00074,1154.0
IDX00075,20.0
IDX00076,249.0
IDX00077,43.0
IDX00078,40.0
IDX00079,245.0
IDX00080,18.0
IDX00081,2.0
IDX00082,1034.0
IDX00083,1167.0
IDX00084,1038.0
IDX00085,12.0
IDX00086,300.0
IDX00087,236.0
IDX00088,38.0
IDX00089,17.0
IDX00090,8.0
IDX00091,2.0
IDX00092,365.0
IDX00093,40.0
IDX00094,20.0
IDX00095,2.0
IDX00096,15.0
IDX00097,13.0
IDX00098,3.0
IDX00099,37.0
IDX00100,171.0
IDX00101,8.0
IDX00102,13.0
IDX00103,63.0
IDX00104,750.0
IDX00105,32.0
IDX00106,156.0
IDX00107,2.0
IDX00108,3.0
IDX00109,159.0
IDX00110,96.0
IDX00111,470.0
IDX00112,164.0
IDX00113,118.0
IDX00114,8.0
IDX00115,393.0
IDX00116,25.0
IDX00117,20.0
IDX00118,3.0
IDX00119,7.0
IDX00120,161.0
IDX00121,2.0
IDX00122,118.0
IDX00123,397.0
IDX00124,82.0
IDX00125,761.0
IDX00126,995.0
IDX00127,402.0
IDX00128,478.0
IDX00129,954.0
IDX00130,2.0
IDX00131,983.0
IDX00132,48.0
IDX00133,261.0
IDX00134,975.0
IDX00135,156.0
IDX00136,12.0
IDX00137,173.0
IDX00138,983.0
IDX00139,977.0
IDX00140,264.0
IDX00141,177.0
IDX00142,17.0
IDX00143,161.0
IDX00144,12.0
IDX00145,226.0
IDX00146,43.0
IDX00147,140.0
IDX00148,61.0
IDX00149,134.0
IDX00150,62.0
IDX00151,13.0
IDX00152,1164.0
IDX00153,1167.0
IDX00154,1164.0
IDX00155,1164.0
IDX00156,1167.0
IDX00157,646.0
IDX00158,989.0
IDX00159,156.0
IDX00160,8.0
IDX00161,59.0
IDX00162,238.0
IDX00163,2.0
IDX00164,5.0
IDX00165,1008.0
IDX00166,13.0
IDX00167,27.0
IDX00168,20.0
IDX00169,5.0
IDX00170,2.0
IDX00171,7.0
IDX00172,7.0
IDX00173,7.0
IDX00174,337.0
IDX00175,1164.0
IDX00176,995.0
IDX00177,3.0
IDX00178,17.0
IDX00179,49.0
IDX00180,10.0
IDX00181,11.0
IDX00182,29.0
IDX00183,11.0
IDX00184,205.0
IDX00185,992.0
IDX00186,686.0
IDX00187,12.0
IDX00188,19.0
IDX00189,33.0
IDX00190,42.0
IDX00191,12.0
IDX00192,14.0
IDX00193,27.0
IDX00194,25.0
IDX00195,50.0
IDX00196,31.0
IDX00197,102.0
IDX00198,361.0
IDX00199,1036.0
