submit_id,hold_d
IDX00001,51.0
IDX00002,262.0
IDX00003,51.0
IDX00004,119.0
IDX00005,11.0
IDX00006,84.0
IDX00007,83.0
IDX00008,448.0
IDX00009,68.0
IDX00010,148.0
IDX00011,22.0
IDX00012,774.0
IDX00013,238.0
IDX00014,8.0
IDX00015,8.0
IDX00016,12.0
IDX00017,64.0
IDX00018,35.0
IDX00019,256.0
IDX00020,8.0
IDX00021,9.0
IDX00022,688.0
IDX00023,320.0
IDX00024,22.0
IDX00025,6.0
IDX00026,53.0
IDX00027,54.0
IDX00028,252.0
IDX00029,393.0
IDX00030,264.0
IDX00031,25.0
IDX00032,49.0
IDX00033,730.0
IDX00034,111.0
IDX00035,8.0
IDX00036,68.0
IDX00037,71.0
IDX00038,706.0
IDX00039,78.0
IDX00040,883.0
IDX00041,905.0
IDX00042,282.0
IDX00043,828.0
IDX00044,721.0
IDX00045,959.0
IDX00046,489.0
IDX00047,819.0
IDX00048,936.0
IDX00049,903.0
IDX00050,988.0
IDX00051,798.0
IDX00052,827.0
IDX00053,51.0
IDX00054,463.0
IDX00055,457.0
IDX00056,8.0
IDX00057,9.0
IDX00058,532.0
IDX00059,501.0
IDX00060,595.0
IDX00061,45.0
IDX00062,525.0
IDX00063,33.0
IDX00064,532.0
IDX00065,336.0
IDX00066,61.0
IDX00067,550.0
IDX00068,63.0
IDX00069,97.0
IDX00070,124.0
IDX00071,215.0
IDX00072,5.0
IDX00073,435.0
IDX00074,1011.0
IDX00075,8.0
IDX00076,75.0
IDX00077,17.0
IDX00078,17.0
IDX00079,54.0
IDX00080,7.0
IDX00081,1.0
IDX00082,604.0
IDX00083,679.0
IDX00084,657.0
IDX00085,6.0
IDX00086,33.0
IDX00087,89.0
IDX00088,14.0
IDX00089,5.0
IDX00090,2.0
IDX00091,0.0
IDX00092,141.0
IDX00093,18.0
IDX00094,8.0
IDX00095,6.0
IDX00096,7.0
IDX00097,3.0
IDX00098,0.0
IDX00099,14.0
IDX00100,16.0
IDX00101,4.0
IDX00102,4.0
IDX00103,19.0
IDX00104,229.0
IDX00105,13.0
IDX00106,68.0
IDX00107,1.0
IDX00108,1.0
IDX00109,34.0
IDX00110,33.0
IDX00111,178.0
IDX00112,96.0
IDX00113,43.0
IDX00114,4.0
IDX00115,140.0
IDX00116,11.0
IDX00117,9.0
IDX00118,3.0
IDX00119,4.0
IDX00120,58.0
IDX00121,2.0
IDX00122,18.0
IDX00123,166.0
IDX00124,34.0
IDX00125,228.0
IDX00126,158.0
IDX00127,120.0
IDX00128,165.0
IDX00129,98.0
IDX00130,2.0
IDX00131,163.0
IDX00132,15.0
IDX00133,14.0
IDX00134,60.0
IDX00135,11.0
IDX00136,7.0
IDX00137,-5.0
IDX00138,14.0
IDX00139,10.0
IDX00140,22.0
IDX00141,13.0
IDX00142,4.0
IDX00143,13.0
IDX00144,6.0
IDX00145,18.0
IDX00146,15.0
IDX00147,9.0
IDX00148,1.0
IDX00149,14.0
IDX00150,13.0
IDX00151,6.0
IDX00152,725.0
IDX00153,657.0
IDX00154,714.0
IDX00155,716.0
IDX00156,956.0
IDX00157,80.0
IDX00158,11.0
IDX00159,23.0
IDX00160,-1.0
IDX00161,7.0
IDX00162,41.0
IDX00163,-3.0
IDX00164,8.0
IDX00165,677.0
IDX00166,2.0
IDX00167,2.0
IDX00168,2.0
IDX00169,4.0
IDX00170,0.0
IDX00171,1.0
IDX00172,1.0
IDX00173,4.0
IDX00174,113.0
IDX00175,1077.0
IDX00176,537.0
IDX00177,1.0
IDX00178,8.0
IDX00179,55.0
IDX00180,34.0
IDX00181,18.0
IDX00182,20.0
IDX00183,25.0
IDX00184,55.0
IDX00185,9.0
IDX00186,76.0
IDX00187,6.0
IDX00188,3.0
IDX00189,8.0
IDX00190,17.0
IDX00191,2.0
IDX00192,5.0
IDX00193,13.0
IDX00194,7.0
IDX00195,29.0
IDX00196,29.0
IDX00197,41.0
IDX00198,33.0
IDX00199,700.0
IDX00200,27.0
IDX00201,45.0
IDX00202,4.0
IDX00203,54.0
IDX00204,23.0
IDX00205,31.0
IDX00206,73.0
IDX00207,39.0
IDX00208,976.0
IDX00209,35.0
IDX00210,6.0
IDX00211,46.0
IDX00212,68.0
IDX00213,14.0
IDX00214,15.0
IDX00215,44.0
IDX00216,19.0
IDX00217,52.0
IDX00218,39.0
IDX00219,22.0
IDX00220,4.0
IDX00221,345.0
IDX00222,27.0
IDX00223,1.0
IDX00224,8.0
IDX00225,10.0
IDX00226,3.0
IDX00227,3.0
IDX00228,480.0
IDX00229,50.0
IDX00230,88.0
IDX00231,56.0
IDX00232,570.0
IDX00233,13.0
IDX00234,35.0
IDX00235,44.0
IDX00236,304.0
IDX00237,11.0
IDX00238,33.0
IDX00239,19.0
IDX00240,55.0
IDX00241,231.0
IDX00242,98.0
IDX00243,63.0
IDX00244,-9.0
IDX00245,27.0
IDX00246,3.0
IDX00247,37.0
IDX00248,27.0
IDX00249,15.0
IDX00250,16.0
IDX00251,18.0
IDX00252,12.0
IDX00253,11.0
IDX00254,-1.0
IDX00255,4.0
IDX00256,21.0
IDX00257,4.0
IDX00258,3.0
IDX00259,676.0
IDX00260,182.0
IDX00261,82.0
IDX00262,3.0
IDX00263,1012.0
IDX00264,43.0
IDX00265,6.0
IDX00266,2.0
IDX00267,38.0
IDX00268,7.0
IDX00269,22.0
IDX00270,24.0
IDX00271,422.0
IDX00272,1066.0
IDX00273,587.0
IDX00274,491.0
IDX00275,582.0
IDX00276,822.0
IDX00277,845.0
IDX00278,212.0
IDX00279,287.0
IDX00280,857.0
IDX00281,84.0
IDX00282,837.0
IDX00283,7.0
IDX00284,10.0
IDX00285,3.0
IDX00286,5.0
IDX00287,10.0
IDX00288,175.0
IDX00289,2.0
IDX00290,13.0
IDX00291,8.0
IDX00292,10.0
IDX00293,12.0
IDX00294,6.0
IDX00295,4.0
IDX00296,10.0
IDX00297,9.0
IDX00298,3.0
IDX00299,506.0
IDX00300,14.0
IDX00301,3.0
IDX00302,4.0
IDX00303,1.0
IDX00304,33.0
IDX00305,23.0
IDX00306,43.0
IDX00307,31.0
IDX00308,24.0
IDX00309,34.0
IDX00310,24.0
IDX00311,18.0
IDX00312,70.0
IDX00313,28.0
IDX00314,75.0
IDX00315,28.0
IDX00316,131.0
IDX00317,82.0
IDX00318,76.0
IDX00319,45.0
IDX00320,81.0
IDX00321,24.0
IDX00322,96.0
IDX00323,75.0
IDX00324,15.0
IDX00325,13.0
IDX00326,22.0
IDX00327,50.0
IDX00328,90.0
IDX00329,69.0
IDX00330,30.0
IDX00331,88.0
IDX00332,47.0
IDX00333,15.0
IDX00334,88.0
IDX00335,27.0
IDX00336,30.0
IDX00337,66.0
IDX00338,69.0
IDX00339,76.0
IDX00340,87.0
IDX00341,77.0
IDX00342,63.0
IDX00343,87.0
IDX00344,51.0
IDX00345,32.0
IDX00346,31.0
IDX00347,21.0
IDX00348,78.0
IDX00349,63.0
IDX00350,145.0
IDX00351,49.0
IDX00352,26.0
IDX00353,92.0
IDX00354,25.0
IDX00355,38.0
IDX00356,68.0
IDX00357,24.0
IDX00358,32.0
IDX00359,24.0
IDX00360,28.0
IDX00361,91.0
IDX00362,76.0
IDX00363,32.0
IDX00364,56.0
IDX00365,72.0
IDX00366,82.0
IDX00367,58.0
IDX00368,62.0
IDX00369,88.0
IDX00370,102.0
IDX00371,53.0
IDX00372,28.0
IDX00373,50.0
IDX00374,93.0
IDX00375,49.0
IDX00376,168.0
IDX00377,58.0
IDX00378,76.0
IDX00379,83.0
IDX00380,69.0
IDX00381,62.0
IDX00382,72.0
IDX00383,74.0
IDX00384,45.0
IDX00385,86.0
IDX00386,18.0
IDX00387,87.0
IDX00388,31.0
IDX00389,24.0
IDX00390,70.0
IDX00391,107.0
IDX00392,66.0
IDX00393,60.0
IDX00394,54.0
IDX00395,23.0
IDX00396,93.0
IDX00397,93.0
IDX00398,26.0
IDX00399,28.0
IDX00400,88.0
IDX00401,78.0
IDX00402,88.0
IDX00403,58.0
IDX00404,26.0
IDX00405,132.0
IDX00406,17.0
IDX00407,29.0
IDX00408,26.0
IDX00409,53.0
IDX00410,10.0
IDX00411,49.0
IDX00412,97.0
IDX00413,26.0
IDX00414,445.0
IDX00415,55.0
IDX00416,52.0
IDX00417,55.0
IDX00418,427.0
IDX00419,6.0
IDX00420,64.0
IDX00421,5.0
IDX00422,70.0
IDX00423,55.0
IDX00424,39.0
IDX00425,55.0
IDX00426,609.0
IDX00427,8.0
IDX00428,285.0
IDX00429,40.0
IDX00430,22.0
IDX00431,13.0
IDX00432,41.0
IDX00433,16.0
IDX00434,-0.0
IDX00435,3.0
IDX00436,50.0
IDX00437,17.0
IDX00438,84.0
IDX00439,-1.0
IDX00440,7.0
IDX00441,405.0
IDX00442,43.0
IDX00443,62.0
IDX00444,51.0
IDX00445,23.0
IDX00446,311.0
IDX00447,777.0
IDX00448,817.0
IDX00449,783.0
IDX00450,875.0
IDX00451,59.0
IDX00452,675.0
IDX00453,447.0
IDX00454,117.0
IDX00455,20.0
IDX00456,86.0
IDX00457,22.0
IDX00458,92.0
IDX00459,55.0
IDX00460,34.0
IDX00461,3.0
IDX00462,203.0
IDX00463,-3.0
IDX00464,-3.0
IDX00465,-1.0
IDX00466,2.0
IDX00467,67.0
IDX00468,44.0
IDX00469,75.0
IDX00470,6.0
IDX00471,27.0
IDX00472,71.0
IDX00473,83.0
IDX00474,8.0
IDX00475,44.0
IDX00476,65.0
IDX00477,34.0
IDX00478,11.0
IDX00479,46.0
IDX00480,37.0
IDX00481,22.0
IDX00482,25.0
IDX00483,30.0
IDX00484,51.0
IDX00485,67.0
IDX00486,71.0
IDX00487,42.0
IDX00488,72.0
IDX00489,18.0
IDX00490,891.0
IDX00491,51.0
IDX00492,90.0
IDX00493,8.0
IDX00494,33.0
IDX00495,62.0
IDX00496,678.0
IDX00497,34.0
IDX00498,2.0
IDX00499,-7.0
IDX00500,5.0
IDX00501,3.0
IDX00502,49.0
IDX00503,-1.0
IDX00504,2.0
IDX00505,3.0
IDX00506,1005.0
IDX00507,885.0
IDX00508,217.0
IDX00509,971.0
IDX00510,6.0
IDX00511,9.0
IDX00512,28.0
IDX00513,18.0
IDX00514,-5.0
IDX00515,30.0
IDX00516,13.0
IDX00517,6.0
IDX00518,9.0
IDX00519,8.0
IDX00520,42.0
IDX00521,17.0
IDX00522,-2.0
IDX00523,6.0
IDX00524,7.0
IDX00525,5.0
IDX00526,2.0
IDX00527,14.0
IDX00528,-9.0
IDX00529,3.0
IDX00530,1.0
IDX00531,12.0
IDX00532,12.0
IDX00533,15.0
IDX00534,4.0
IDX00535,3.0
IDX00536,-4.0
IDX00537,-0.0
IDX00538,19.0
IDX00539,18.0
IDX00540,2.0
IDX00541,33.0
IDX00542,2.0
IDX00543,49.0
IDX00544,10.0
IDX00545,4.0
IDX00546,2.0
IDX00547,31.0
IDX00548,1.0
IDX00549,2.0
IDX00550,45.0
IDX00551,4.0
IDX00552,9.0
IDX00553,3.0
IDX00554,8.0
IDX00555,7.0
IDX00556,14.0
IDX00557,18.0
IDX00558,12.0
IDX00559,1.0
IDX00560,20.0
IDX00561,18.0
IDX00562,12.0
IDX00563,3.0
IDX00564,4.0
IDX00565,11.0
IDX00566,115.0
IDX00567,15.0
IDX00568,111.0
IDX00569,80.0
IDX00570,110.0
IDX00571,26.0
IDX00572,68.0
IDX00573,102.0
IDX00574,63.0
IDX00575,116.0
IDX00576,7.0
IDX00577,58.0
IDX00578,-19.0
IDX00579,2.0
IDX00580,5.0
IDX00581,6.0
IDX00582,6.0
IDX00583,34.0
IDX00584,23.0
IDX00585,125.0
IDX00586,16.0
IDX00587,34.0
IDX00588,479.0
IDX00589,17.0
IDX00590,23.0
IDX00591,54.0
IDX00592,15.0
IDX00593,12.0
IDX00594,11.0
IDX00595,12.0
IDX00596,164.0
IDX00597,10.0
IDX00598,46.0
IDX00599,5.0
IDX00600,12.0
IDX00601,8.0
IDX00602,728.0
IDX00603,-31.0
IDX00604,2.0
IDX00605,-9.0
IDX00606,13.0
IDX00607,-0.0
IDX00608,4.0
IDX00609,11.0
IDX00610,10.0
IDX00611,573.0
IDX00612,617.0
IDX00613,93.0
IDX00614,48.0
IDX00615,614.0
IDX00616,32.0
IDX00617,6.0
IDX00618,7.0
IDX00619,43.0
IDX00620,376.0
IDX00621,87.0
IDX00622,310.0
IDX00623,905.0
IDX00624,89.0
IDX00625,2.0
IDX00626,40.0
IDX00627,14.0
IDX00628,-3.0
IDX00629,26.0
IDX00630,38.0
IDX00631,0.0
IDX00632,2.0
IDX00633,18.0
IDX00634,2.0
IDX00635,14.0
IDX00636,-24.0
IDX00637,-0.0
IDX00638,45.0
IDX00639,5.0
IDX00640,-1.0
IDX00641,4.0
IDX00642,1.0
IDX00643,12.0
IDX00644,93.0
IDX00645,10.0
IDX00646,390.0
IDX00647,67.0
IDX00648,23.0
IDX00649,706.0
IDX00650,8.0
IDX00651,148.0
IDX00652,21.0
IDX00653,89.0
IDX00654,45.0
IDX00655,0.0
IDX00656,11.0
IDX00657,3.0
IDX00658,4.0
IDX00659,13.0
IDX00660,6.0
IDX00661,4.0
IDX00662,7.0
IDX00663,2.0
IDX00664,12.0
IDX00665,83.0
IDX00666,11.0
IDX00667,2.0
IDX00668,1.0
IDX00669,5.0
IDX00670,11.0
IDX00671,7.0
IDX00672,28.0
IDX00673,8.0
IDX00674,22.0
IDX00675,56.0
IDX00676,72.0
IDX00677,107.0
IDX00678,552.0
IDX00679,47.0
IDX00680,41.0
IDX00681,-3.0
IDX00682,-2.0
IDX00683,97.0
IDX00684,64.0
IDX00685,302.0
IDX00686,18.0
IDX00687,68.0
IDX00688,46.0
IDX00689,16.0
IDX00690,9.0
IDX00691,14.0
IDX00692,-14.0
IDX00693,6.0
IDX00694,-39.0
IDX00695,9.0
IDX00696,8.0
IDX00697,73.0
IDX00698,44.0
IDX00699,83.0
IDX00700,88.0
IDX00701,65.0
IDX00702,3.0
IDX00703,47.0
IDX00704,19.0
IDX00705,71.0
IDX00706,587.0
IDX00707,609.0
IDX00708,339.0
IDX00709,74.0
IDX00710,397.0
IDX00711,139.0
IDX00712,611.0
IDX00713,200.0
IDX00714,332.0
IDX00715,98.0
IDX00716,609.0
IDX00717,222.0
IDX00718,450.0
IDX00719,827.0
IDX00720,615.0
IDX00721,604.0
IDX00722,564.0
IDX00723,858.0
IDX00724,375.0
IDX00725,469.0
IDX00726,74.0
IDX00727,400.0
IDX00728,613.0
IDX00729,605.0
IDX00730,16.0
IDX00731,44.0
IDX00732,647.0
IDX00733,65.0
IDX00734,6.0
IDX00735,1.0
IDX00736,139.0
IDX00737,40.0
IDX00738,80.0
IDX00739,71.0
IDX00740,18.0
IDX00741,-2.0
IDX00742,8.0
IDX00743,80.0
IDX00744,34.0
IDX00745,57.0
IDX00746,137.0
IDX00747,595.0
IDX00748,18.0
IDX00749,163.0
IDX00750,27.0
IDX00751,53.0
IDX00752,65.0
IDX00753,5.0
IDX00754,46.0
IDX00755,74.0
IDX00756,23.0
IDX00757,56.0
IDX00758,47.0
IDX00759,10.0
IDX00760,5.0
IDX00761,5.0
IDX00762,66.0
IDX00763,52.0
IDX00764,74.0
IDX00765,507.0
IDX00766,819.0
IDX00767,625.0
IDX00768,55.0
IDX00769,98.0
IDX00770,831.0
IDX00771,778.0
IDX00772,769.0
IDX00773,824.0
IDX00774,148.0
IDX00775,144.0
IDX00776,636.0
IDX00777,64.0
IDX00778,649.0
IDX00779,92.0
IDX00780,761.0
IDX00781,453.0
IDX00782,9.0
IDX00783,5.0
IDX00784,8.0
IDX00785,5.0
IDX00786,5.0
IDX00787,24.0
IDX00788,112.0
IDX00789,57.0
IDX00790,8.0
IDX00791,13.0
IDX00792,19.0
IDX00793,44.0
IDX00794,16.0
IDX00795,18.0
IDX00796,12.0
IDX00797,2.0
IDX00798,54.0
IDX00799,17.0
IDX00800,20.0
IDX00801,12.0
IDX00802,57.0
IDX00803,58.0
IDX00804,8.0
IDX00805,25.0
IDX00806,66.0
IDX00807,155.0
IDX00808,4.0
IDX00809,8.0
IDX00810,9.0
IDX00811,39.0
IDX00812,657.0
IDX00813,422.0
IDX00814,139.0
IDX00815,51.0
IDX00816,204.0
IDX00817,71.0
IDX00818,42.0
IDX00819,-4.0
IDX00820,-7.0
IDX00821,-0.0
IDX00822,8.0
IDX00823,-17.0
IDX00824,14.0
IDX00825,0.0
IDX00826,71.0
IDX00827,6.0
IDX00828,7.0
IDX00829,21.0
IDX00830,37.0
IDX00831,28.0
IDX00832,9.0
IDX00833,2.0
IDX00834,24.0
IDX00835,21.0
IDX00836,5.0
IDX00837,4.0
IDX00838,628.0
IDX00839,1.0
IDX00840,6.0
IDX00841,5.0
IDX00842,1.0
IDX00843,15.0
IDX00844,4.0
IDX00845,2.0
IDX00846,3.0
IDX00847,-1.0
IDX00848,2.0
IDX00849,7.0
IDX00850,-2.0
IDX00851,3.0
IDX00852,42.0
IDX00853,3.0
IDX00854,19.0
IDX00855,-15.0
IDX00856,133.0
IDX00857,15.0
IDX00858,7.0
IDX00859,5.0
IDX00860,7.0
IDX00861,11.0
IDX00862,7.0
IDX00863,11.0
IDX00864,45.0
IDX00865,217.0
IDX00866,124.0
IDX00867,48.0
IDX00868,193.0
IDX00869,656.0
IDX00870,49.0
IDX00871,-1.0
IDX00872,546.0
IDX00873,3.0
IDX00874,19.0
IDX00875,7.0
IDX00876,229.0
IDX00877,7.0
IDX00878,785.0
IDX00879,835.0
IDX00880,698.0
IDX00881,732.0
IDX00882,766.0
IDX00883,73.0
IDX00884,16.0
IDX00885,107.0
IDX00886,80.0
IDX00887,236.0
IDX00888,42.0
IDX00889,8.0
IDX00890,1.0
IDX00891,4.0
IDX00892,-21.0
IDX00893,13.0
IDX00894,15.0
IDX00895,12.0
IDX00896,7.0
IDX00897,6.0
IDX00898,7.0
IDX00899,20.0
IDX00900,30.0
IDX00901,12.0
IDX00902,16.0
IDX00903,16.0
IDX00904,8.0
IDX00905,31.0
IDX00906,1.0
IDX00907,-3.0
IDX00908,20.0
IDX00909,-6.0
IDX00910,14.0
IDX00911,13.0
IDX00912,6.0
IDX00913,6.0
IDX00914,17.0
